"meas","pred"
2.8,2.59194127320777
2.19,2.25581658859843
3.9,4.55898444807527
3.65,3.75225785731845
3.3,3.57997646672623
4.26,3.91631879042028
4.8,4.73125049384661
2.92,3.10783278558806
2.86,3.54907704446575
3.09,4.08901250038225
3.25,3.54746011150682
3.29,3.75817495942248
3.79,3.85927786030492
3.5,3.61082279831776
3.46,3.39242569053009
2.62,3.14273830132777
2.4,2.77604411027388
4.22,4.1511807333624
4.27,3.99444738277545
4.33,4.26574898109734
3.38,3.59001112100936
4.14,3.91199262004102
3.63,4.62786129001748
3.95,3.47060733717488
3.84,3.90863504348303
3.81,3.63426922581472
3.61,3.85570049162216
3.28,3.40354687847399
4.19,4.12084080794986
3.57,3.63896209442988
3.99,3.89696575500973
2.83,3.27646746068776
3.64,3.70892850327594
2.88,3.58937671077767
4.86,4.51810987395027
4.76,4.15998553255724
5.36,4.46664862895415
2.79,2.90119842657318
4.07,4.18406773166553
3.53,3.46123006063237
4.97,4.36114725920631
4.17,4.1013266390377
3.61,3.6788944565103
3.74,3.71150815960097
3.22,3.41119027001939
2.94,3.03944167018459
4.36,4.05785768068293
4.16,3.92015343984167
3.67,3.60116086627777
3.47,3.81364888016965
4.17,4.10131670183146
4.29,4.22306952804175
3.77,3.74978673045875
3.63,4.26863730424995
2.73,2.66164715208933
3.32,3.41947928559504
3.18,3.70503882704228
2.92,2.85163880041141
3.56,3.76194196176762
3.24,3.43026672855928
3.72,3.6040631534433
3.96,4.09596772088579
3.76,3.82936299952783
3.86,3.7906831289955
4.24,3.71125308212624
2.73,3.14515354269524
3.16,3.22915714475537
2.55,3.49730313000768
3.37,3.30132211947057
2.69,3.01882220198092
4.71,3.89179927282811
3.68,3.31898542963227
3.28,3.14840029095779
3.8,3.6613283027287
4.84,4.16224537244935
2.95,2.90356852512584
3.19,3.25879000284532
3.97,4.03808522351602
4.22,3.9001177813871
3.84,4.16524917837105
4.02,3.62794937890114
4.09,4.01958059411258
3.56,3.49065286741415
3.95,3.86790348609915
4.19,4.48084241433388
5.44,4.60960932712104
4.71,4.0196527778271
2.98,3.37166897354538
4.25,4.41188096037686
4.19,4.12159616672724
3.86,3.92858753266037
3.42,3.69848889249769
4.58,3.71843236294675
3.35,3.66455955894667
4.57,4.31172246878972
3.96,3.70451169120488
4.14,4.46867664182258
4.37,4.02396530503815
4.95,4.74357420580693
3.53,3.80227049137131
5.22,4.6894813103391
3.38,3.44907322122857
3.62,3.43881041556627
4.21,4.14087075995338
3.95,4.14876002492242
4.23,4.37070502544627
3.67,3.71020201955155
3.57,4.55202847136041
4.71,4.64096076543168
4.13,4.19046064228022
4,4.05198312783973
5.23,4.08621280834192
3.24,3.30906188462367
4,3.73524131147605
3.59,3.86310289531676
3.73,3.61852426739941
3.2,3.26851272406403
3.68,3.61104378374511
4.88,4.11060271486507
4.4,4.18892171740123
4.29,4.220720239262
4.84,4.34753855120804
3.88,4.27319665894259
3.29,3.57372969723868
3.19,3.31358193807709
5.34,4.37802465991911
4.19,4.00872200525982
3.9,3.64431411632574
2.96,4.52537601477951
3.77,3.70138972386654
3.72,3.51837963099877
3.9,3.63906584250294
3.67,3.20783322445747
3.21,3.14087126892062
3.8,4.14083229519884
4.14,4.0631432591152
3.75,3.81883787762241
3.5,3.56889069026319
3.69,3.76189313232641
3.29,4.092040281388
3.19,3.33529517653874
2.86,3.65387677493063
3.88,3.948894726408
2.97,3.42661473433079
2.76,2.69109678092188
3.95,4.01833079245253
3.53,3.31742161815724
3.75,3.75556363774442
2.34,3.31491142383506
5.17,3.55539109995623
4.76,4.28438906440442
4.27,4.02980074685956
4.45,4.3810534057921
4.39,3.93607682652051
4.38,4.44890230484598
4.46,4.00557323009728
3.17,3.9197342668496
4.16,4.08401008493478
5.92,4.82206940658086
4.43,4.50041763483352
5.12,4.41876218700892
4.1,4.03099208949892
3.4,3.66942321949847
4.84,4.70801990725791
3.92,3.98866357929739
3.64,3.79333010695695
3.8,4.05473105348778
3.17,3.58698706677589
3.26,4.10416484506474
3.99,4.05877396546447
3.26,3.73062479519218
3.89,3.95623673157362
4.52,4.45107081955458
3.92,3.69528465791024
5.8,4.5660436364582
4.54,4.58831040657332
3.83,4.12346778343298
3.68,4.18783992276953
3.77,3.84057910249637
1.89,2.86004077323564
2.9,3.44456272375584
2.77,3.67982206515841
3.62,3.65636034642796
4.37,4.43875876026241
4.87,4.80119219346596
4.51,4.10703925285015
3.69,3.18715553168927
5.22,4.51706879119162
3.84,3.90340380856856
3.13,3.36039821216414
3.33,3.71759616463971
3.91,3.84118914552963
3.21,3.47620089017922
3.26,3.19110340998223
3.42,3.4883697836356
3.03,3.33781718622172
3.66,3.59131936690893
4.65,3.92096720110703
3.44,3.40995314923063
4.42,3.79650524150415
4.06,3.93048423108212
4,3.93120271495852
4.07,4.10988659173515
4.04,3.75795530299317
3.98,3.71908720906472
4.96,5.02844640374019
4.82,4.32075082431227
3.85,4.33424598219599
4.2,4.13074706705364
4.64,4.33341228109556
3.87,3.45557606712964
3.16,3.54971128521037
3.66,3.50148771432695
2.53,2.59879968595479
3.06,2.79956375860897
3.61,3.54124045629877
3.82,3.78739793149478
3.16,2.93263884076534
2.89,2.95878276031005
2.87,3.12744101721856
3.42,3.47378371889258
4.18,3.81226094626237
2.91,3.06394512458426
4.35,3.90832169542794
4.04,4.06222103990769
3.87,3.80100169957386
3.57,3.89260108687796
3.88,4.18757689216595
4.31,4.24120149947135
3.22,3.71597454517134
4.12,4.05001039914531
4.24,3.7498630356751
4.4,4.11288583590236
3.23,3.04914070159426
3.22,2.56732984226195
3.7,3.76879419332597
3.69,4.07629104019246
4.01,4.01050542443754
3.78,3.91334251817165
3.75,3.96534786826841
3.2,3.98088640197381
3.46,3.39156599195682
2.9,3.39396699740892
2.79,3.02793192212766
4.11,4.04130017695175
3.83,3.77063664606302
3.82,3.88837073736049
3.81,3.73149361835755
4.11,3.92712937337292
3.85,4.13126700801172
3.62,3.74448445294947
3.72,3.78847924420988
4.61,4.67874268020526
4.16,4.08978178381532
4.12,4.32034740282405
3.75,3.70016335048186
2.84,3.66129952674718
4.47,4.19885590258619
3.87,3.80125865612629
2.88,3.61601295355691
2.42,3.12180817457373
4.87,4.79995697407549
4.43,4.11721801977298
4.55,3.71968775496547
3.39,4.35484231305279
3.42,3.81776049401586
4.68,4.41557942141538
3.36,3.42835349798147
3.18,3.53145180045675
3.44,3.37126668152075
5.27,5.05635508168522
3.98,3.9450753087125
4.65,4.02568753202896
2.94,3.49787842146272
3.67,3.88497910048555
3.09,3.19029581686556
4.51,3.85758851650031
3.91,3.92465701047569
4,3.89372642294045
3.27,3.3304624980505
2.96,3.04807515026641
3.79,4.07853881661714
4.57,4.50116487024225
3.1,4.14953642902047
4.51,4.38507207486635
2.6,3.14004311518574
2.76,2.58803196669858
2.29,2.80087478598805
5.09,4.07515417306272
3.28,3.17607436366271
4.48,4.24364667008079
5.62,4.88721301420808
3.31,3.81862569572198
3.25,3.34193907756305
3.34,3.88244362438918
3.95,3.88072939784173
4.25,3.92997740033246
3.28,3.50952529630278
3.58,3.2655934173226
2.92,2.64586712319492
5.5,4.7071529285697
4.64,4.51144232492166
3.74,4.3427320641367
3.7,3.76912371888223
3.41,3.47904061603973
3.71,3.58839839681407
4.01,4.02369442342464
4.42,4.46904594612166
4.59,4.4133552439042
3.81,4.07063103011365
4.33,4.26110967619163
5.09,4.10472837504134
3.35,3.37400939669256
4.32,3.99932399584712
4.2,3.90299998006516
3.57,3.63370310609029
4.55,4.61887400750533
4.13,4.79070621136714
3.06,3.15346534463374
3.06,3.01902404710149
3.09,3.15879796830032
3.38,3.41322541610019
4.32,3.78797881831339
3.88,3.96382375754409
3.34,3.59352450844419
5.17,4.3600602391071
3.77,3.70096945980108
2.77,3.34534978076789
3.73,3.58012690117821
4.46,4.30606026501712
4.17,4.15719386349944
3.73,3.79898958285426
3.2,4.16504168858017
4.78,4.62203090731496
3.94,3.88910382831122
4.27,4.13221524425324
3.8,3.44604707235749
2.82,3.45811950450117
2.93,3.41803655197049
3.69,3.34759428244451
3.09,3.15751324831963
3.17,3.06676969143859
4.81,3.86283200469966
4.88,4.30877409905275
2.27,3.83788859880625
4.52,4.4513266843014
5.49,4.62351050369885
4.58,4.68638872520606
2.89,3.38812238346195
3.54,3.66813661271769
