Genotype_Chl,Genotype_N,Genotype_SLA,Genotype_sucrose,Genotype_Vmax
Mo17,W64A,Mo17,,B73xHp301
Mo17,B52,Mo17,,B73xMo17
Mo17,CML322,B73,,B73xC123
B73,B73,B73,,B73XMo17
B73,B73,Hp301,,B73xOh43
Hp301,B73,NC338,,B73xHp301
NC338,B73,CML333,,B73xC123
CML333,B73,Mo17,,B73XMo17
Mo17,B73,Mo17,,B73xOh43
Mo17,B73,B73,,B73xMs71
B73,B73,B73,,B73xCML333
B73,B73,Hp301,,B73xC123
Hp301,B73,NC338,,B73xHp301
NC338,B73,CML333,,B73xIl14H
CML333,B73,Mo17,,B73xMo17
Mo17,B73,B73,,B73XMo17
B73,B73,Mo17,,B73xCML333
Mo17,B73,B73,,B73xM37W
B73,B73,B73xCML333,,B73xC123
B73xCML333,B73,B73xOh43,,B73xIl14H
B73xOh43,B73,B73xHp301,,B73xMo17
B73xHp301,B73,B73xMo17,,B73XMo17
B73xMo17,B73,B73xC123,,B73xMo17
B73xC123,B73,B73XMo17,,B73xC123
B73XMo17,B73,B73xCML333,,B73xMo17
B73xCML333,B73,B73xOh43,,B73xHp301
B73xOh43,B73,B73xHp301,,B73XMo17
B73xHp301,B73,B73xMo17,,B73xMo17
B73xMo17,B73,B73xC123,,B73xC123
B73xC123,B73,B73XMo17,,B73xMo17
B73XMo17,B73,B73xOh43,,B73xHp301
B73xOh43,B73,B73xMs71,,B73XMo17
B73xMs71,B73,B73xCML333,,B73
B73xCML333,B73,B73xC123,,B73
B73xM37W,B73,B73xHp301,,B73
B73xC123,B73,B73xIl14H,,B73
B73xHp301,B73,B73xMo17,,B73
B73xIl14H,B73,B73xMo17,,B73
B73xMo17,B73,B73XMo17,,B73
B73xMo17,B73,B73xOh43,,B73
B73XMo17,B73,B73xMs71,,B73
B73xOh43,B73,B73xCML333,,B73
B73xMs71,B73,B73xC123,,B73
B73xCML333,B73,B73xHp301,,B73
B73xM37W,B73,B73xIl14H,,B73
B73xC123,B73,B73xMo17,,B73
B73xHp301,B73,B73xMo17,,B73
B73xIl14H,B73,B73XMo17,,B73
B73xMo17,B73,B73xMo17,,B73
B73xMo17,B73,B73xC123,,B73
B73XMo17,B73,B73xMo17,,B73
B73xMo17,B73,B73xHp301,,B73
B73xC123,B73,B73XMo17,,B73
B73xMo17,B73,B73xMo17,,B73
B73xHp301,B73,B73xC123,,B73
B73XMo17,B73,B73xMo17,,B73
B73xMo17,B73,B73xHp301,,B73
B73xC123,B73,B73XMo17,,B73
B73xMo17,B73,,,B73
B73xHp301,B73,,,B73
B73XMo17,B73,,,B73
B73,B73,,,B73
B73,B73,,,B73
B73,B73,,,B73
B73,B73,,,B73
B73,B73,,,B73
B73,B73,,,B73
B73,B73,,,B73
B73,B73,,,B73
B73,B73,,,B73
B73,B73,,,B73
B73,B73,,,B73
B73,B73,,,B73
B73,B73,,,B73
B73,B73,,,B73
B73,B73,,,B73
B73,B73,,,B73
B73,B73,,,B73
B73,B73,,,B73
B73,,,,B73
B73,,,,B73
B73,,,,B73
B73,,,,B73
B73,,,,B73
B73,,,,B73
B73,,,,B73
B73,,,,B73
B73,,,,B73
B73,,,,B73
B73,,,,B73
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
B73,,,,
