Plot,Repeat,NPQ_ind_amp,NPQ_ind_rate,NPQ_rel_amp,NPQ_rel_rate,NPQ_rel_res,phiPSII_ind_amp,phiPSII_ind_rate,phiPSII_ind_res,NPQ_ind_linear,maxNPQ,endNPQ,endFvFm
1011,3,3.278984997,0.007209387,2.84530673,0.023643071,0.435552089,0.23706717,0.016008182,0.537785422,0.0305,3.36,0.28,0.79
1012,2,2.816813477,0.012518829,2.572937956,0.016842278,0.388914497,0.234849035,0.012553849,0.546228606,0.036166667,3.02,0.29,0.79
1012,3,2.890444788,0.014727057,2.656481398,0.011110854,0.373691852,0.247343234,0.008051218,0.52482282,0.041666667,3.08,0.27,0.78
1013,1,3.47086549,0.007929886,2.953764098,0.025027505,0.523628939,0.250450572,0.018135178,0.500515966,0.036,3.57,0.3,0.77
1013,2,3.460227644,0.007711437,2.94590673,0.018675388,0.546762231,0.249756381,0.012658726,0.492933692,0.037666667,3.61,0.34,0.76
1013,3,3.604044032,0.010654983,3.252581895,0.01758653,0.473328854,0.268910571,0.011489299,0.489318285,0.044333333,3.82,0.31,0.77
1014,1,3.608095935,0.007655725,3.134574663,0.014485677,0.474249305,0.251374951,0.010339289,0.532641997,0.040833333,3.69,0.37,0.79
1014,2,3.897835954,0.004422185,3.147618364,0.021366052,0.460632233,0.263522146,0.015456981,0.514459857,0.031166667,3.67,0.34,0.79
1014,3,3.31637896,0.009658171,2.914022913,0.016951078,0.498994942,0.23388384,0.012447958,0.554955695,0.037833333,3.49,0.37,0.8
1015,1,3.183534644,0.00635082,2.740007146,0.021629024,0.409869729,0.236097596,0.016330699,0.549940354,0.030166667,3.25,0.29,0.8
1015,3,3.292945532,0.008170335,2.908751914,0.021042894,0.397213256,0.246753967,0.015289514,0.537375433,0.034,3.39,0.28,0.79
1016,1,3.291260261,0.00448091,2.56098152,0.029328307,0.449160986,0.231410849,0.02049729,0.527509617,0.0265,3.08,0.33,0.77
1016,2,2.996678778,0.00464435,2.408272248,0.028300824,0.424624852,0.223122909,0.022029774,0.546749278,0.028333333,2.89,0.32,0.78
1016,3,3.056955199,0.004495769,2.490427931,0.027854194,0.335845509,0.244405458,0.021001877,0.499502893,0.020666667,2.84,0.25,0.75
1017,2,3.816031189,0.00503666,3.256092958,0.024817551,0.423011203,0.282189012,0.016872063,0.454619286,0.042,3.73,0.3,0.75
1017,3,3.485302185,0.006704837,3.20343006,0.021466886,0.34533733,0.289073256,0.014440224,0.460230289,0.041166667,3.58,0.24,0.76
1018,1,3.255270431,0.005042432,2.725558737,0.031871257,0.422317,0.234459587,0.022249774,0.535904984,0.029,3.2,0.31,0.78
1018,2,3.402932503,0.004697703,2.625353612,0.026860103,0.483816788,0.227881684,0.020291076,0.545944422,0.022833333,3.17,0.36,0.79
1018,3,3.320402779,0.005570732,2.747073319,0.024872686,0.430958902,0.239649217,0.018472808,0.535228534,0.028,3.23,0.34,0.78
1019,1,3.344244644,0.008534529,3.16834292,0.012768485,0.322808827,0.267290004,0.010543199,0.533110582,0.032333333,3.46,0.29,0.8
1019,3,3.665434893,0.00781385,3.429643448,0.013288882,0.353236463,0.295101945,0.009590941,0.475221847,0.038166667,3.8,0.29,0.77
1020,1,3.608674471,0.007782776,3.126444291,0.017525006,0.421894738,0.264573801,0.012391226,0.512060247,0.029833333,3.61,0.34,0.78
1020,2,4.006260218,0.006104272,3.315554998,0.024335314,0.527026675,0.270449454,0.015477594,0.4730345,0.029833333,3.97,0.35,0.76
1020,3,3.630701028,0.008374097,3.209872125,0.023198023,0.445135503,0.266974488,0.015168428,0.496241495,0.036666667,3.73,0.33,0.77
1021,1,3.554934339,0.005893304,3.031769676,0.029220012,0.46712712,0.26612982,0.017749485,0.455905876,0.040833333,3.61,0.3,0.74
1021,2,3.518933796,0.00795234,3.195483254,0.023054281,0.395035654,0.281599573,0.016125794,0.465882373,0.044,3.67,0.26,0.76
1021,3,3.543548426,0.007122369,3.171492719,0.028496348,0.450438125,0.274604224,0.01807472,0.454776774,0.045333333,3.72,0.3,0.74
1022,1,3.227672372,0.005614294,2.810602483,0.015713027,0.379966917,0.252666582,0.012435236,0.528459491,0.027833333,3.2,0.31,0.79
1022,2,3.894226959,0.004469712,3.170488693,0.017854893,0.485325653,0.265099815,0.013056333,0.49389062,0.032666667,3.69,0.38,0.77
1022,3,3.111004017,0.007951095,2.789201161,0.015149175,0.44744418,0.24266097,0.011135478,0.521591285,0.035166667,3.26,0.35,0.77
1023,1,3.384890621,0.009818097,3.098041352,0.018939571,0.405428247,0.26088252,0.013226017,0.516089918,0.039666667,3.56,0.27,0.79
1023,2,3.332000476,0.006098858,2.858969457,0.021790428,0.409536845,0.247084131,0.016607782,0.525080223,0.029666667,3.32,0.3,0.78
1023,3,3.672726165,0.005787765,3.31015958,0.023331861,0.349351907,0.281327161,0.01756942,0.490145029,0.035,3.68,0.28,0.78
1024,2,3.546595856,0.010124878,3.090788321,0.022205719,0.52963881,0.261508569,0.014139866,0.486189944,0.047666667,3.76,0.3,0.77
1024,3,3.540350554,0.014178977,3.096790238,0.011118993,0.533381835,0.263989195,0.007335019,0.47867696,0.048833333,3.76,0.36,0.76
1025,1,3.073946424,0.011152447,2.758893293,0.012462226,0.430325758,0.240035461,0.009083642,0.527189326,0.035166667,3.18,0.34,0.78
1025,2,3.244036009,0.006677206,2.727826357,0.014967805,0.443272739,0.227882591,0.011194113,0.552853111,0.0295,3.24,0.33,0.79
1026,1,3.624808725,0.007826533,3.318659939,0.019959464,0.433658777,0.27907291,0.014789492,0.480293434,0.041166667,3.8,0.32,0.77
1026,2,3.669826505,0.006854586,3.154470188,0.022078507,0.455630327,0.258228779,0.014369215,0.523260159,0.028666667,3.72,0.26,0.8
1026,3,3.776539505,0.008217116,3.315484415,0.017522421,0.510317716,0.267711472,0.011777501,0.501187736,0.045,3.94,0.35,0.78
1027,1,3.778248457,0.012556358,3.517360594,0.015230969,0.536447999,0.280237002,0.01046839,0.486585718,0.053166667,4.12,0.36,0.78
1027,3,3.22872084,0.017440647,3.034957839,0.012110064,0.437686419,0.251886145,0.00867845,0.536658274,0.051166667,3.46,0.32,0.8
1028,1,3.238396547,0.006285391,2.835648509,0.015398867,0.381898868,0.247472512,0.012583913,0.539096293,0.025166667,3.22,0.32,0.79
1028,3,3.706771011,0.004514371,2.863146353,0.02703598,0.493265386,0.232890872,0.018628501,0.540820106,0.019166667,3.45,0.33,0.79
1029,1,3.416902313,0.009410692,3.117307479,0.01678523,0.405237177,0.263705944,0.01162613,0.513188711,0.0405,3.58,0.28,0.79
1029,3,3.201136485,0.009123378,2.817786539,0.015037835,0.442666617,0.241921699,0.011241024,0.537224666,0.038833333,3.38,0.29,0.79
1030,1,3.630815158,0.004748025,2.917755667,0.034675227,0.513273059,0.244315225,0.022118579,0.51221647,0.031666667,3.51,0.29,0.78
1030,2,3.439466555,0.006541029,2.992863586,0.027041559,0.443242771,0.24691251,0.019941551,0.52731189,0.031,3.51,0.29,0.79
1030,3,3.340508741,0.00427422,2.739210699,0.029130192,0.366909081,0.237507531,0.021647149,0.543479062,0.026166667,3.13,0.29,0.79
1032,1,3.079148614,0.010558872,2.687690124,0.013372398,0.494453987,0.227053402,0.009516917,0.535231002,0.040333333,3.26,0.39,0.77
1032,2,2.968658474,0.009018221,2.474465793,0.012714661,0.495274912,0.216606914,0.009932729,0.555436556,0.029833333,3.04,0.4,0.78
1032,3,2.759600318,0.007101224,2.316214129,0.025207095,0.489077761,0.203779721,0.018343706,0.561880744,0.032833333,2.9,0.34,0.78
1034,1,3.037443424,0.009464676,2.648909041,0.018312102,0.468019279,0.237295616,0.011888451,0.517900496,0.038,3.19,0.32,0.77
1034,3,2.916885612,0.007581144,2.401363688,0.021567863,0.53065433,0.221538737,0.016385793,0.517609761,0.030666667,3.01,0.41,0.75
1035,3,2.821863731,0.006359981,2.379694543,0.022889311,0.436395712,0.21478441,0.016912909,0.547875607,0.024666667,2.88,0.33,0.77
1036,1,3.400597708,0.010147493,2.993400731,0.014964074,0.428722769,0.245050371,0.011081431,0.535853812,0.0365,3.49,0.32,0.79
1036,2,3.418552305,0.0068434,3.026666274,0.031071846,0.416773647,0.258004485,0.022620197,0.512493822,0.0375,3.49,0.31,0.78
1036,3,3.454646804,0.009916986,3.035373475,0.01594464,0.400830288,0.253197079,0.012243008,0.526547523,0.0375,3.54,0.29,0.79
1037,1,3.712341306,0.007215257,3.259176159,0.027704735,0.527123523,0.264410256,0.018877221,0.488003434,0.049333333,3.87,0.35,0.77
1038,1,3.601739394,0.007273387,3.193161932,0.01560303,0.403444607,0.27910641,0.010540154,0.478066902,0.036666667,3.69,0.27,0.77
1038,2,3.577044534,0.008650617,3.313292579,0.019244198,0.428003467,0.274140369,0.0135125,0.498133685,0.044416667,3.84,0.255,0.785
1038,3,2.247199952,0.01886957,2.214992374,0.00681532,0.250481044,0.238582534,0.005457309,0.505884078,0.036166667,2.37,0.28,0.74
1039,1,3.645992703,0.008592938,3.342903481,0.012769018,0.344735596,0.281807106,0.009199862,0.511903943,0.038333333,3.75,0.25,0.8
1039,2,3.595101911,0.01145455,3.333712221,0.010991655,0.390292732,0.281241081,0.007527949,0.493381396,0.048666667,3.78,0.29,0.78
1039,3,3.830289012,0.004501769,3.141874869,0.019009155,0.373303997,0.258973431,0.013359803,0.545803117,0.0255,3.6,0.25,0.81
1040,1,3.689460081,0.004490282,3.038884933,0.023275124,0.381177173,0.271190592,0.016185036,0.485084506,0.03,3.47,0.26,0.77
1040,3,3.449190037,0.006004775,3.037220036,0.026587399,0.410322924,0.273223606,0.018211743,0.463214979,0.0395,3.48,0.29,0.75
1041,2,3.161838164,0.007982313,2.899980105,0.013827621,0.367059532,0.246317791,0.010819138,0.546060367,0.031333333,3.27,0.3,0.8
1041,3,4.274713452,0.005673805,3.630083086,0.015511363,0.392610777,0.290882813,0.011054871,0.496237966,0.024166667,4.12,0.27,0.8
1042,1,3.560011188,0.006817173,3.108184621,0.021414041,0.391265805,0.256346576,0.015238363,0.536571435,0.027666667,3.57,0.29,0.8
1042,2,3.561614082,0.006086867,3.19826107,0.014662366,0.361535855,0.263508518,0.010745793,0.52903175,0.030333333,3.6,0.28,0.8
1042,3,3.652397872,0.007382029,3.215505941,0.014438134,0.421290065,0.269385797,0.010509884,0.51196473,0.030666667,3.67,0.33,0.79
1043,1,3.216516947,0.00683388,2.851996575,0.019804411,0.424458115,0.242800722,0.014253332,0.538312999,0.034333333,3.38,0.32,0.79
1043,3,3.186844498,0.010323701,2.675943599,0.013328494,0.50262467,0.23666653,0.00947972,0.521861186,0.036,3.28,0.39,0.77
1044,1,3.850038769,0.006310857,3.226365767,0.019034529,0.477246442,0.264455579,0.012266623,0.515911306,0.031333333,3.87,0.29,0.79
1044,2,3.908895681,0.01047229,3.565684905,0.012114096,0.354258112,0.294311069,0.008339875,0.488472806,0.042833333,4.04,0.26,0.79
1045,1,3.734183029,0.009037131,3.333794365,0.020933064,0.451226825,0.276473746,0.015038477,0.495752929,0.041333333,3.84,0.29,0.79
1045,2,3.695081795,0.013332449,3.07695213,0.014579444,0.622070451,0.248845662,0.008679372,0.511757435,0.051333333,3.81,0.38,0.78
1045,3,3.588010015,0.011715851,3.144890397,0.01758546,0.529080658,0.254082575,0.013103899,0.512031291,0.044833333,3.72,0.34,0.78
1046,1,3.801305224,0.003928883,3.144004718,0.026116561,0.297031371,0.284874407,0.0192108,0.490527167,0.028333333,3.46,0.23,0.78
1046,2,3.554336285,0.00763447,3.290226817,0.018224439,0.334108115,0.275890133,0.013703254,0.511357715,0.033666667,3.68,0.26,0.79
1046,3,3.269165439,0.010206361,2.941932633,0.012838306,0.362892987,0.27420257,0.009123802,0.475696768,0.038166667,3.38,0.24,0.76
1047,2,3.48731199,0.014911022,3.221823907,0.012218461,0.453940936,0.269158756,0.008957176,0.493991779,0.05,3.74,0.36,0.77
1047,3,3.454342484,0.009519811,3.102420848,0.015276683,0.372160846,0.270082707,0.010905276,0.516508078,0.029,3.55,0.24,0.8
1048,1,2.717470883,0.009271164,2.410969709,0.014857717,0.326062791,0.238004766,0.011866116,0.521968241,0.030333333,2.78,0.27,0.77
1048,2,3.467077384,0.010246457,3.182260015,0.013214502,0.367993635,0.285151742,0.009218006,0.459823974,0.042666667,3.6,0.28,0.75
1048,3,3.669143689,0.00666209,2.986629296,0.015054589,0.477114163,0.252458032,0.011354025,0.529083577,0.017333333,3.49,0.37,0.79
1049,1,3.229035751,0.004812767,2.553334444,0.039026692,0.512155358,0.223176763,0.029373966,0.535949536,0.026833333,3.12,0.37,0.77
1049,2,3.878487283,0.003895659,2.842881634,0.037525612,0.60636239,0.228449807,0.026739634,0.517960163,0.024666667,3.52,0.4,0.77
1049,3,3.9636932,0.003723635,2.908963118,0.050275944,0.587516342,0.242487523,0.03607603,0.486292245,0.023666667,3.54,0.37,0.75
