PlotID,Accession
2225,B1K-37-02
2226,B1K-12-06
2227,B1K-05-03
2228,B1K-47-20
2229,B1K-17-07
2230,B1K-51-19
2231,B1K-02-01
2232,B1K-24-09
2233,B1K-10-01
2234,B1K-49-04
2235,B1K-32-08
2236,B1K-08-03
2237,B1K-41-03
2238,B1K-28-15
2239,B1K-32-09
2240,B1K-43-05
2241,B1K-04-12
2242,B1K-25-20
2243,B1K-23-02
2244,B1K-18-18
2245,B1K-28-07
2246,B1K-04-08
2247,B1K-49-11
2248,B1K-39-07
2249,B1K-50-14
2250,B1K-23-01
2251,B1K-23-19
2252,B1K-11-20
2253,B1K-30-13
2254,B1K-03-03
2255,B1K-15-05
2256,B1K-50-12
2257,B1K-13-10
2258,B1K-33-12
2259,B1K-03-04
2260,B1K-13-15
2261,B1K-41-13
2262,B1K-36-04
2263,B1K-02-14
2264,B1K-02-10
2265,B1K-43-14
2266,B1K-47-08
2267,B1K-02-04
2268,B1K-20-08
2269,B1K-34-10
2270,B1K-43-20
2271,B1K-03-17
2272,B1K-06-07
2273,B1K-06-15
2274,B1K-13-06
2275,B1K-18-16
2276,B1K-15-07
2277,B1K-02-06
2278,B1K-16-20
2279,B1K-22-12
2280,B1K-11-10
2281,B1K-04-20
2282,B1K-51-13
2283,B1K-35-19
2284,B1K-34-02
2285,B1K-51-10
2286,B1K-43-04
2287,B1K-04-04
2288,B1K-35-07
2289,B1K-37-20
2290,B1K-36-06
2291,B1K-15-20
2292,B1K-38-08
2293,B1K-11-05
2294,B1K-05-13
2295,B1K-09-09
2296,B1K-35-08
2297,B1K-46-15
2298,B1K-14-04
2299,B1K-24-13
2300,B1K-50-20
2301,B1K-26-03
2302,B1K-47-12
2303,B1K-30-11
2304,B1K-22-10
2305,B1K-04-19
2306,B1K-24-05
2307,B1K-25-13
2308,B1K-07-02
2309,B1K-36-19
2310,B1K-42-17
2311,B1K-38-12
2312,B1K-39-16
2313,B1K-40-17
2314,B1K-04-03
2315,B1K-42-16
2316,B1K-30-03
2317,B1K-33-03
2318,B1K-34-20
2319,B1K-26-05
2320,B1K-44-09
