"Plot","Repeat","A_maxPAR"
"1214","2",38.3430168696637
"2139","3",30.5062255545085
"1012","2",36.5540829670835
"2187","1",37.44433447269
"1037","2",38.3076480656192
"2319","3",24.4827153042441
"2176","1",32.6883707193959
"1012","1",36.8660636564112
"2139","1",33.119779430641
"2319","2",30.633114565767
"1056","1",23.0501024020839
"1202","1",29.45480916695
"2187","2",18.3130947140752
"2176","3",30.1448602161221
"2187","3",38.9203890475041
"1037","3",30.6276445236816
"2139","2",25.3782176600381
"2176","2",15.706368972011
"1012","3",35.1731989283491
"2034","1",20.0298948926503
"1114","2",22.1121790102113
"2241","1",38.6474919078293
"2002","3",21.8773841271558
"2255","2",38.3066799665565
"2275","3",29.4123936584587
"1010","3",35.8745690808933
"2028","2",24.6861625551602
"2267","1",35.3050221506465
"2275","1",32.7445576510575
"2312","1",20.4660209278451
"1008","1",37.2608831539726
"1114","3",35.9659840868534
"2129","3",35.0855030293776
"2273","1",29.6218434605456
"2241","2",30.7815456336369
"2002","1",7.08699166918068
"2026","3",28.8003382458367
"2252","3",40.9440508932801
"1096","3",21.2564758957194
"2288","3",23.4522878641526
"2201","1",35.6863350129052
"2027","2",23.9954981928026
"2026","1",21.1961272637254
"1010","2",41.7349428065204
"1004","2",38.5272104103078
"2057","3",26.1604569619511
"2267","2",28.4546873082415
"2288","1",32.7529154058553
"2226","1",37.5264838984413
"1096","1",10.6872037732997
"1008","2",32.5829273920502
"2041","2",10.8157462312829
"2041","3",23.6882489831329
"2027","1",20.332369634883
"2057","1",21.4279478776512
"2241","3",31.0984080059183
"1001","3",36.0545881552396
"1084","2",25.403351085752
"1004","1",37.5360772094405
"1084","3",32.9985191021431
"2292","1",15.8760222779579
"2078","1",26.1256757667932
"2216","1",21.9067164424724
"2312","2",15.9393405109207
"2288","2",24.0792405557495
"2273","2",31.9900725959056
"2027","3",21.7754743013674
"2002","2",25.5760818887528
"2201","2",27.234707152079
"1001","2",34.5872755287643
"2275","2",30.1722726547074
"2034","3",22.5075991325754
"1010","1",29.3694450818665
"2292","2",30.2012919475481
"1004","3",41.3784254009196
"2312","3",13.841200068967
"1184","2",32.4357619040276
"2059","2",40.0660790599432
"2005","2",30.6976997729351
"1017","2",25.4587053769229
"2009","1",22.5825036719666
"2297","2",25.0852161745525
"2005","1",28.607466122188
"2313","2",30.4370007142883
"2049","1",25.3907082077188
"2162","2",31.6689646640306
"2092","2",28.7185718062688
"2316","2",20.2998448136854
"2092","1",40.4216161779345
"2137","3",20.6221267461654
"2049","3",34.0127357915424
"2012","2",31.9620212526969
"2012","3",19.7989182797636
"2105","1",2.87927991503189
"1098","2",20.818497149224
"2289","3",18.0692862613656
"2178","2",30.7422298930653
"2137","2",22.0595972185262
"2105","2",19.6954159474957
"1162","1",31.4665709381822
"2178","1",33.7063871489465
"2294","3",31.613093081532
"2074","3",30.3702324201638
"1017","3",41.3740147368018
"2049","2",25.3747865120275
"1081","3",41.2509365247055
"2297","3",28.6738120692094
"2152","2",28.8779836995714
"2233","1",29.8243045840037
"2185","2",35.2028993783518
"2185","3",13.3699953767664
"2018","2",21.8431849094639
"2294","1",17.620757983827
"2316","3",21.9095394401206
"2058","3",30.963361701639
"2074","2",28.5006354869089
"1265","2",21.5346090668371
"2009","3",13.7099128449034
"1081","2",26.7058687673588
"2249","1",18.9569692649614
"2313","3",31.5852207782338
"2074","1",26.8593888238595
"2152","1",25.9328659732726
"2005","3",18.3488698377813
"2185","1",30.9141678553734
"1266","1",17.7223448149036
"1162","3",31.5555211983489
"2018","3",15.863352942162
"2092","3",39.8559216443548
"1098","3",8.46059314101241
"1145","2",29.0366280740959
"2012","1",23.6681334188143
"1145","1",37.6640590995319
"2297","1",33.5959934072916
"1265","3",25.3842322732066
"2058","1",33.5734190996674
"2137","1",28.8106951847286
"1162","2",24.484533796578
"1266","3",29.9596739574484
"2059","1",15.468783420903
"2316","1",19.7526275792566
"2058","2",32.928984466216
"1218","3",35.0214046141006
"1176","1",29.7075259740902
"1054","2",32.5975322361483
"1086","2",18.5158867317801
"1156","3",26.4018392493886
"1280","3",10.9768924384487
"1140","1",29.8868134177686
"1088","1",31.8690525498093
"1085","3",30.4821861143468
"1251","3",25.1300707332553
"1199","1",30.4456900713858
"1199","3",25.4071016720521
"1176","2",24.4292752760413
"1259","3",32.9403916169157
"2035","3",30.3649807515973
