Plot,Repeat,leaf_width
2222,2,10.9
2222,3,11.7
2223,1,9.2
2223,2,9.5
2223,3,8.4
2224,1,12.8
2224,2,10.3
2224,3,9.6
2225,1,8
2225,2,8.4
2225,3,9.1
2226,1,8.5
2226,2,8.9
2226,3,8.2
2227,1,8.6
2227,2,8.3
2227,3,8
2228,1,7.5
2228,2,7.6
2228,3,7.8
2229,1,9.9
2229,2,9.5
2229,3,9.7
2230,1,9
2230,2,7.8
2230,3,8.4
2231,1,10.8
2231,2,9.4
2231,3,10
2232,1,9.8
2232,2,8.8
2232,3,8.3
2233,1,7.2
2233,2,7.3
2233,3,7
2234,1,9.3
2234,2,8
2234,3,9.5
2235,1,10.6
2235,2,10.8
2235,3,9.8
2236,1,7
2236,2,6.5
2236,3,6.8
2237,1,8.1
2237,2,7.4
2237,3,9
2238,1,9.1
2238,2,8.4
2238,3,8.9
2239,1,9.2
2239,2,8.6
2239,3,8.1
2240,1,9.6
2240,2,9.3
2240,3,8.5
2241,1,7.9
2241,2,8
2241,3,8
2242,1,9.5
2242,2,10
2242,3,9
2243,1,9
2243,2,10
2243,3,10.9
2244,1,8
2244,2,8.3
2244,3,8.5
2245,1,7.6
2245,2,6.2
2245,3,7.4
2246,1,8.4
2246,2,6.8
2247,1,7.6
2247,2,8
2247,3,7.5
2248,1,8.3
2248,2,7.3
2248,3,8.8
2249,1,7.1
2249,2,8.2
2249,3,7
2250,1,8.3
2250,2,7.3
2250,3,7.7
2251,1,8.8
2251,2,9.5
2251,3,8.4
2252,1,7.6
2252,2,9
2252,3,8.1
2253,1,8.9
2253,2,8.6
2253,3,8.9
2254,1,8.9
2254,2,7.7
2254,3,8.1
2255,1,8.3
2255,2,8.8
2255,3,8.7
2256,1,7.7
2256,2,9.1
2256,3,9.3
2257,1,8.5
2257,2,9
2257,3,9
2258,1,8.7
2258,2,10.3
2258,3,10.1
2259,1,8.7
2259,2,9.6
2259,3,8.8
2260,1,9.5
2260,2,9.7
2260,3,8.1
2261,1,9.4
2261,2,9
2261,3,10.1
2262,1,9
2262,2,8
2262,3,8.2
2263,1,8.4
2263,2,8
2263,3,8.6
2264,1,8
2264,2,7.2
2264,3,5.5
2265,1,8.7
2265,2,8.9
2265,3,9.2
2266,1,8.1
2266,2,8.6
2266,3,8.2
2267,1,8.2
2267,2,8.8
2267,3,8.1
2268,1,8.6
2268,2,8.9
2268,3,9.4
2269,1,9.5
2269,2,10.2
2269,3,9.6
2270,1,9.5
2270,2,10
2270,3,9.5
2271,1,8.4
2271,2,10.4
2271,3,6.7
2272,1,8.8
2272,2,8.3
2272,3,7.6
2273,1,8.8
2273,2,8
2273,3,9.8
2274,1,6.6
2274,2,6.7
2274,3,6.3
2275,1,9.6
2275,2,7.4
2276,1,9.5
2276,2,9.1
2276,3,9.4
2277,1,9.9
2277,2,8.7
2277,3,9.1
2278,1,8.4
2278,2,8.4
2278,3,8.7
2279,1,10.3
2279,2,9.2
2279,3,9
2280,1,8.3
2280,2,8.9
2280,3,9.4
2281,1,7.7
2281,2,7.4
2281,3,9.1
2282,1,8.1
2282,2,8.2
2282,3,9.2
2283,1,9.5
2283,2,8.8
2283,3,10.2
2284,1,8.5
2284,2,8.7
2284,3,9
2285,1,9
2285,2,9.1
2285,3,8.7
2286,1,10
2286,2,8.4
2286,3,10
2287,1,7.3
2287,2,7.4
2287,3,8.2
2288,1,8.3
2288,2,9.6
2288,3,9.3
2289,1,8.9
2289,2,10.1
2289,3,9.3
2290,1,9
2290,2,9.2
2290,3,8.7
2291,1,6.4
2291,2,8.4
2291,3,8.9
2292,1,8.6
2292,2,7.9
2292,3,7.3
2293,1,7
2293,2,6.7
2293,3,7.5
2294,1,8.5
2294,2,8
2294,3,7.6
2295,1,10.5
2295,2,10.3
2295,3,10
2296,1,10
2296,2,9.2
2296,3,9.3
2297,1,10.8
2297,2,8.5
2297,3,10.2
2298,1,8.2
2298,2,8.3
2298,3,9
2299,1,7
2299,2,7
2299,3,7.4
2300,1,7.3
2300,2,6.8
2300,3,6.7
2301,1,8
2301,2,8
2301,3,8.4
2302,1,8
2302,2,8.5
2302,3,8
2303,1,8.4
2303,2,8.9
2303,3,7.4
2304,1,6.7
2304,2,7
2304,3,6
2305,1,7
2305,1,6.9
2305,2,6.8
2305,2,7.3
2305,3,6.8
2305,3,6.7
2306,1,9.5
2306,2,7.6
2306,3,10.1
2307,1,7.4
2307,2,7.9
2307,3,7.8
2308,1,7
2308,2,7.2
2308,3,6.6
2309,1,11.4
2309,2,12.1
2309,3,13.1
2310,1,11
2310,2,10.4
2310,3,11.1
2311,1,7.4
2311,2,7.1
2311,3,6.5
2312,1,9.3
2312,2,7.5
2312,3,7.5
2313,1,7.6
2313,2,7.3
2313,3,8.6
2314,1,9.7
2314,2,9.9
2314,3,9
2315,1,9.5
2315,2,9.9
2315,3,9.7
2316,1,6.7
2316,2,7.4
2316,3,7.8
2317,1,9.7
2317,2,9.2
2317,3,9.4
2318,1,9.4
2318,2,8.1
2318,3,8.2
2319,1,7.3
2319,2,7.9
2319,3,8.7
2320,1,9.5
2320,2,8.7
2320,3,7.6
