Plot,Repeat,SLA
1001,1,217.6870748
1001,2,197.5308642
1001,3,209.1503268
1002,1,209.1503268
1002,2,186.0465116
1002,3,193.9393939
1003,1,226.9503546
1003,2,206.4516129
1003,3,206.4516129
1004,1,181.8181818
1004,2,200
1004,3,202.5316456
1005,1,166.6666667
1005,2,191.6167665
1005,3,182.8571429
1006,1,164.9484536
1006,2,159.2039801
1006,3,180.7909605
1007,1,167.539267
1007,2,165.8031088
1007,3,181.8181818
1008,1,187.1345029
1008,2,170.212766
1008,3,230.2158273
1009,1,251.9685039
1009,2,220.6896552
1009,3,246.1538462
1010,1,223.7762238
1010,2,235.2941176
1010,3,191.6167665
1011,1,214.7651007
1011,2,225.3521127
1011,3,209.1503268
1012,1,214.7651007
1012,2,183.908046
1012,3,191.0447761
1013,1,240.6015038
1013,2,196.3190184
1013,3,207.7922078
1014,1,207.7922078
1014,2,268.907563
1014,3,186.0465116
1015,1,186.0465116
1015,2,160.8040201
1015,3,195.1219512
1016,1,206.4516129
1016,2,220.6896552
1016,3,167.539267
1017,1,206.4516129
1017,2,162.4365482
1017,3,144.7963801
1018,1,228.5714286
1018,2,202.5316456
1018,3,177.7777778
1019,1,217.6870748
1019,2,228.5714286
1019,3,195.1219512
1020,1,278.2608696
1020,2,273.5042735
1020,3,226.9503546
1021,1,149.5327103
1021,2,266.6666667
1021,3,140.969163
1022,1,220.6896552
1022,2,228.5714286
1022,3,228.5714286
1023,1,174.863388
1023,2,172.0430108
1023,3,217.6870748
1024,1,174.863388
1024,2,180.7909605
1024,3,39.50617284
1025,1,210.5263158
1025,2,205.1282051
1025,3,222.2222222
1026,1,209.1503268
1026,2,213.3333333
1026,3,283.1858407
1027,1,216.2162162
1027,2,220.6896552
1027,3,223.7762238
1028,1,200
1028,2,202.5316456
1028,3,201.2578616
1029,1,207.7922078
1029,2,216.2162162
1029,3,202.5316456
1030,1,209.1503268
1030,2,231.884058
1030,3,226.9503546
1031,1,189.3491124
1031,2,238.8059701
1031,3,214.7651007
1032,1,223.7762238
1032,2,220.6896552
1032,3,189.3491124
1033,1,190.4761905
1033,2,198.757764
1033,3,197.5308642
1034,1,148.1481481
1034,2,170.212766
1034,3,181.8181818
1035,1,179.7752809
1035,2,188.2352941
1035,3,151.6587678
1036,1,182.8571429
1036,2,195.1219512
1036,3,183.908046
1037,1,181.8181818
1037,2,177.7777778
1037,3,184.9710983
1038,1,211.9205298
1038,2,200
1038,3,226.9503546
1039,1,197.5308642
1039,2,207.7922078
1039,3,240.6015038
1040,1,230.2158273
1040,2,211.9205298
1040,3,190.4761905
1041,1,205.1282051
1041,2,192.7710843
1041,3,187.1345029
1042,1,197.5308642
1042,2,197.5308642
1042,3,182.8571429
1043,1,211.9205298
1043,2,225.3521127
1043,3,178.7709497
1044,1,189.3491124
1044,2,203.8216561
1044,3,188.2352941
1045,1,200
1045,2,220.6896552
1045,3,184.9710983
1046,1,203.8216561
1046,2,203.8216561
1046,3,235.2941176
1047,1,188.2352941
1047,2,165.8031088
1047,3,153.8461538
1048,1,200
1048,2,220.6896552
1048,3,226.9503546
1049,1,164.1025641
1049,2,186.0465116
1049,3,175.8241758
1050,1,176.7955801
1050,2,167.539267
1050,3,170.212766
1051,1,179.7752809
