PlotID,Repeat,C,N,CN,d13C,d15N
1032,1,44.14,2.43,18.14758019,-15.67,2.90
1032,2,42.85,2.67,16.07226819,-15.67,3.86
1032,3,43.64,2.87,15.20044119,-15.69,4.03
1033,1,40.51,3.28,12.34723826,-16.62,3.26
1033,2,43.09,3.33,12.92920158,-16.55,2.83
1033,3,42.58,2.83,15.0508755,-16.47,2.89
1034,Pooled,39.37,2.53,15.53679141,-15.72,-0.53
1035,Pooled,44.88,3.38,13.28980592,-15.78,0.89
1036,Pooled,44.98,3.99,11.28207307,-15.52,1.82
1037,Pooled,45.86,2.75,16.65310172,-15.70,0.19
1039,Pooled,45.05,3.28,13.73217584,-15.64,1.41
1039,Pooled,41.80,2.81,14.85183604,-16.07,3.03
1040,Pooled,46.36,3.49,13.28529479,-16.08,1.59
1041,1,43.79,2.59,16.93949617,-15.95,1.19
1041,2,44.10,2.78,15.85982748,-15.95,0.25
1041,3,43.15,2.35,18.35359003,-15.87,0.73
1042,1,41.58,3.22,12.8945548,-15.87,-0.32
1042,2,42.81,3.70,11.5587784,-16.04,-0.17
1042,3,42.61,3.91,10.90523091,-15.89,-0.72
1043,1,43.72,2.48,17.63376014,-15.65,0.30
1043,2,43.52,1.88,23.14379278,-15.56,1.38
1043,3,42.78,2.90,14.77407298,-16.18,2.27
1044,1,42.31,2.94,14.41290753,-16.44,2.01
1044,2,43.28,3.02,14.34763276,-16.35,1.88
1044,3,42.94,2.98,14.38942638,-16.76,2.92
1045,Pooled,42.70,3.03,14.11575897,-15.46,1.44
1046,Pooled,43.36,2.45,17.72400615,-15.94,2.36
1047,Pooled,,,,,
1048,Pooled,44.32,3.08,14.38143562,-15.84,0.98
1049,1,42.41,3.14,13.52568877,-16.90,3.20
1049,2,43.63,2.85,15.3249826,-16.86,2.00
1049,3,43.23,2.83,15.26267309,-16.97,2.47
1050,Pooled,43.07,2.52,17.09888727,-15.45,-0.07
1051,1,43.48,3.52,12.35049354,-17.23,1.84
1051,2,42.86,3.21,13.34261608,-17.34,2.22
1051,3,42.81,3.29,13.00188658,-16.99,1.66
1052,Pooled,46.20,3.04,15.20935304,-15.69,1.29
1053,Pooled,44.85,2.93,15.2978353,-15.51,1.17
1054,Pooled,43.52,3.13,13.91081241,-15.81,2.37
1055,1,43.00,2.50,17.17593109,-15.73,1.60
1055,2,41.35,2.53,16.32508279,-15.62,1.39
1055,3,44.28,3.28,13.50041255,-15.85,0.57
1056,Pooled,44.85,3.03,14.82048241,-15.60,3.68
1057,Pooled,42.03,3.06,13.71393485,-15.90,1.62
1058,Pooled,43.19,2.43,17.74208756,-15.58,-1.37
1059,Pooled,46.05,2.86,16.11622838,-15.67,1.01
1060,Pooled,44.50,3.13,14.20909631,-15.50,1.33
1061,Pooled,48.53,3.77,12.88429957,-16.10,2.22
1062,1,43.45,3.17,13.69067167,-16.24,3.46
1062,2,43.48,2.37,18.38336393,-15.98,3.06
1062,3,41.81,2.30,18.1613799,-16.37,0.46
1063,1,42.44,3.50,12.13437116,-15.99,1.90
1063,2,43.57,3.45,12.62371294,-16.02,2.23
1063,3,43.64,3.63,12.03409149,-16.09,1.48
1064,Pooled,46.59,3.80,12.2585639,-15.54,3.60
1065,Pooled,43.60,3.06,14.23048573,-15.92,-0.11
1066,Pooled,46.71,3.24,14.42076705,-16.39,1.31
1067,Pooled,43.47,2.13,20.42716453,-15.42,1.03
1068,Pooled,45.10,3.06,14.74668134,-15.91,0.29
1069,1,47.49,3.60,13.17697141,-15.61,2.80
1069,2,46.95,3.40,13.82343157,-15.69,2.48
1069,3,47.78,2.92,16.3608242,-16.10,1.14
1070,Pooled,43.21,3.79,11.39115116,-16.02,2.33
1071,Pooled,46.09,3.85,11.9730265,-16.35,1.66
1072,Pooled,46.49,3.73,12.4773148,-16.11,3.01
1073,1,42.33,2.94,14.37729518,-15.91,1.96
1073,2,42.16,2.74,15.3881737,-15.62,3.44
1073,3,44.49,2.61,17.06768135,-15.64,2.90
1074,Pooled,44.12,3.31,13.31222378,-15.91,1.02
1075,1,38.73,3.25,11.92435129,-17.26,2.24
1075,2,44.47,2.66,16.73004147,-16.77,4.96
1075,3,40.17,2.29,17.55776588,-16.90,4.59
1076,Pooled,0.00,0.00,#DIV/0!,-15.87,0.51
1077,1,42.14,3.69,11.43285394,-17.18,2.14
