Plot,Repeat,Area
2188,2,9.67
2187,2,9.35
2187,1,6.80
2187,3,6.00
2186,3,9.79
2186,2,6.00
2186,1,6.33
2185,2,17.46
2185,3,12.07
2185,1,7.71
2184,3,4.15
2184,2,1.81
2184,1,3.27
2183,1,7.34
2183,3,4.80
2183,2,5.18
2182,2,10.33
2182,3,12.63
2182,1,9.02
2181,3,3.41
2181,1,3.45
2181,2,3.89
2180,2,11.94
2180,3,10.08
2180,1,6.66
2179,2,12.63
2179,1,9.58
2179,3,7.92
2176,2,10.85
2176,3,8.18
2176,1,9.24
2175,2,4.37
2175,3,4.29
2175,1,3.05
2174,3,7.86
2174,2,6.66
2174,1,5.15
2173,2,11.85
2173,3,11.15
2173,1,3.55
2172,1,12.48
2172,2,8.00
2172,3,11.76
2171,2,11.19
2171,1,9.94
2171,3,8.41
2169,1,5.04
2169,3,5.32
2168,2,5.64
2168,3,4.42
2168,1,5.77
2167,3,6.66
2167,2,5.76
2167,1,5.72
2166,2,8.37
2166,3,6.34
2166,1,5.54
2165,2,7.71
2165,3,5.54
2165,1,6.62
2164,2,6.13
2164,1,1.82
2164,3,3.31
2163,3,13.24
2163,1,11.42
2163,2,13.46
2162,2,6.84
2162,3,4.50
2162,1,1.39
2161,3,14.58
2161,1,5.71
2161,2,4.33
2160,2,6.62
2160,3,5.82
2160,1,3.86
2159,1,5.55
2159,2,4.78
2159,3,5.53
2158,3,10.99
2158,1,13.34
2158,2,8.94
2157,2,2.63
2157,3,3.76
2157,1,4.43
2156,3,6.04
2156,1,2.96
2156,2,4.08
2155,2,5.59
2155,1,5.01
2155,3,5.70
2153,3,7.30
2153,2,8.24
2153,1,5.79
2152,2,2.97
2152,1,2.99
2152,3,3.21
2151,3,6.75
2151,2,6.98
2151,1,5.31
2150,1,8.48
2150,2,14.52
2150,3,8.63
2149,2,6.40
2149,1,8.17
2149,3,8.52
2148,3,5.67
2148,2,9.94
2148,1,5.36
2147,1,12.08
2147,2,9.79
2147,3,14.59
2146,2,7.73
2146,3,8.58
2146,1,6.44
2145,3,8.95
2145,1,8.10
2145,2,5.61
2144,3,5.08
2144,2,12.39
2144,1,4.43
2143,2,5.72
2143,3,5.29
2143,1,8.00
2142,3,16.66
2142,1,16.67
2142,2,13.30
2141,2,8.65
2141,3,9.24
2141,1,10.31
2140,1,2.71
2140,3,4.01
2139,3,8.27
2139,2,7.74
2139,1,7.02
2138,2,4.22
2138,1,10.67
2138,3,6.52
2137,1,2.60
2137,2,2.60
2137,3,3.73
2136,2,6.45
2135,3,11.02
2135,2,10.49
2135,1,4.29
2134,3,7.69
2134,2,9.42
2134,1,9.16
2133,2,
2133,1,7.03
2133,3,4.32
2132,3,6.52
2132,1,11.13
2132,2,7.55
2131,1,5.07
2131,3,11.37
2131,2,7.42
2130,2,10.42
2130,1,9.09
2130,3,10.60
2129,3,8.59
2129,2,16.14
2129,1,5.96
2127,2,9.64
2127,3,11.26
2127,1,11.46
2126,2,6.44
2126,3,7.25
2126,1,4.00
2125,3,8.24
2125,2,6.83
2125,1,6.57
2124,1,7.38
2124,2,6.91
2124,3,7.08
2123,2,2.75
2122,2,5.36
2122,3,4.65
2122,1,5.24
2121,1,6.28
2121,2,6.11
2121,3,5.64
2120,1,7.98
2120,2,4.79
2120,3,4.08
2119,1,7.21
2119,3,7.11
2119,2,4.26
2118,3,14.38
2118,1,11.19
2117,1,8.34
2117,2,8.93
2117,3,5.94
2116,1,11.47
2116,3,5.55
2116,2,6.53
2115,2,4.13
2115,3,7.25
2115,1,6.00
2114,2,8.12
2114,3,4.53
2114,1,7.48
2113,1,6.96
2113,3,6.81
2113,2,4.62
2112,2,8.17
2112,3,8.78
2112,1,7.44
2111,3,9.08
2111,2,6.14
2111,1,5.87
2110,2,7.89
2110,3,11.61
2110,1,4.78
2109,3,7.22
2109,1,9.46
2109,2,13.88
2108,3,10.03
2108,1,5.25
2108,2,8.05
2107,2,20.46
2107,1,22.13
2107,3,12.70
2106,3,4.36
2106,1,4.60
2106,2,4.81
2105,3,6.55
2105,2,7.95
2104,1,12.25
2104,2,10.54
2104,3,6.38
2103,3,3.18
2103,2,6.69
2103,1,1.06
2102,2,8.63
2102,1,5.23
2102,3,9.34
2101,3,8.59
2101,1,14.90
2101,2,6.77
2100,1,9.19
2100,3,9.91
2100,2,6.59
2099,2,4.14
2099,3,3.82
2099,1,3.37
2097,3,6.86
2097,2,10.66
2097,1,11.29
2096,3,12.70
2096,1,8.16
2096,2,9.61
2095,3,4.91
2095,2,5.89
2095,1,5.23
2094,2,
2094,3,5.66
2094,1,3.47
2093,1,6.89
2093,2,5.07
2093,3,8.06
2092,1,9.21
2092,3,6.25
2092,2,6.46
2091,1,12.60
2091,3,10.99
2091,2,15.66
2090,3,14.86
2090,2,9.05
2090,1,8.58
2089,2,4.55
2089,3,3.93
2089,1,5.48
2088,1,10.28
2088,3,12.46
2088,2,8.43
2087,3,10.91
2087,1,8.62
2087,2,8.79
2086,2,6.63
2086,1,5.35
2086,3,5.62
2085,3,6.45
2085,1,5.27
2085,2,4.53
2084,1,5.84
2084,3,5.75
2084,2,4.05
2083,3,4.05
2083,2,3.69
2082,3,11.53
2082,1,6.99
2082,2,9.67
2081,2,10.90
2081,1,5.14
2081,3,4.10
2078,2,6.67
2078,1,9.25
2077,1,4.57
2077,2,3.54
2076,1,6.94
2076,3,9.32
2076,2,5.76
2075,3,7.28
2075,2,5.70
2075,1,2.24
2074,3,5.49
2074,1,6.11
2074,2,7.30
2073,3,4.04
2072,2,6.46
2072,3,10.53
2072,1,7.87
2071,1,5.50
2071,2,4.72
2070,2,12.87
2070,3,12.05
2070,1,12.47
2069,2,8.84
2069,3,4.87
2069,1,3.58
2068,3,9.87
2068,1,9.31
2068,2,5.10
2067,3,10.63
2067,1,11.60
2067,2,10.15
2066,3,10.37
2066,1,11.21
2066,2,9.11
2064,1,6.38
2064,3,6.03
2064,2,10.82
2063,2,5.14
2063,1,3.74
2063,3,5.21
2062,2,6.21
2062,3,7.88
2062,1,3.85
2061,3,3.30
2061,1,2.70
2061,2,3.98
2060,3,6.17
2060,1,8.00
2060,2,3.95
2059,2,11.01
2059,3,11.21
2059,1,12.43
2057,2,6.50
2057,3,4.74
2057,1,5.98
2056,1,4.89
2056,3,8.17
2056,2,4.62
2055,1,8.75
2055,2,6.61
2055,3,6.71
2054,1,8.32
2054,2,12.93
2054,3,11.66
2053,2,10.69
2053,3,5.37
2053,1,9.57
2052,1,5.05
2052,2,6.17
2052,3,3.07
2050,3,9.66
2050,1,11.90
2050,2,7.16
2049,2,11.08
2049,1,3.53
2048,2,5.14
2048,3,2.51
2048,1,6.89
2047,2,5.91
2047,1,8.10
2047,3,3.48
2046,3,9.78
2046,1,9.36
2046,2,3.64
2045,3,23.13
2045,2,10.67
2045,1,9.27
2044,1,15.48
2044,3,12.98
2044,2,17.08
2043,3,3.33
2043,1,5.71
2043,2,7.33
2042,3,6.77
2042,2,5.75
