"Plot","Repeat","A_sat","ci_sat"
"1214","2",38.3430168696637,168.589405361556
"2139","3",30.5062255545085,108.108762213089
"1012","2",36.5540829670835,122.968805263806
"2187","1",37.44433447269,185.607776753477
"1037","2",38.3076480656192,127.037037933646
"2319","3",24.4827153042441,40.5545446053611
"2176","1",32.6883707193959,77.4833531788337
"1012","1",36.8660636564112,69.4009905302257
"2139","1",33.119779430641,-7.20418560674773
"2319","2",30.633114565767,-73.6619568338993
"1056","1",23.0501024020839,213.491176411372
"1202","1",29.45480916695,203.174363290117
"2187","2",18.3130947140752,249.732827077151
"2176","3",30.1448602161221,171.864911112932
"2187","3",38.9203890475041,140.196254265054
"1037","3",30.6276445236816,130.686791334172
"2139","2",25.3782176600381,124.430788090914
"2176","2",15.706368972011,231.784038126773
"1012","3",35.1731989283491,99.6949334605825
"2034","1",20.0298948926503,238.894291095617
"1114","2",22.1121790102113,125.032336028505
"2241","1",38.6474919078293,130.379580336334
"2002","3",21.8773841271558,242.424754362934
"2255","2",38.3066799665565,64.5543117726688
"2275","3",29.4123936584587,80.1925721261891
"1010","3",35.8745690808933,248.841669910071
"2028","2",24.6861625551602,228.338530136888
"2267","1",35.3050221506465,181.62941752069
"2275","1",32.7445576510575,172.901424008057
"2312","1",20.4660209278451,259.438966690418
"1008","1",37.2608831539726,221.135952598822
"1114","3",35.9659840868534,94.0304466560175
"2129","3",35.0855030293776,71.016350581223
"2273","1",29.6218434605456,76.3383581496517
"2241","2",30.7815456336369,97.7734582041805
"2002","1",7.08699166918068,235.023140804405
"2026","3",28.8003382458367,98.5765409996376
"2252","3",40.9440508932801,111.479213768964
"1096","3",21.2564758957194,84.5278154411515
"2288","3",23.4522878641526,62.9182975861735
"2201","1",35.6863350129052,-27.1101362126033
"2027","2",23.9954981928026,-185.384283508719
"2026","1",21.1961272637254,153.561151165469
"1010","2",41.7349428065204,118.583788235524
"1004","2",38.5272104103078,74.8565823866449
"2057","3",26.1604569619511,69.4559792677756
"2267","2",28.4546873082415,116.477526422811
"2288","1",32.7529154058553,98.8081015895615
"2226","1",37.5264838984413,76.5266970399037
"1096","1",10.6872037732997,200.73770876446
"1008","2",32.5829273920502,66.822232962829
"2041","2",10.8157462312829,62.2711359237396
"2041","3",23.6882489831329,160.351873762683
"2027","1",20.332369634883,228.149773519529
"2057","1",21.4279478776512,203.580110731311
"2241","3",31.0984080059183,223.942320494991
"1001","3",36.0545881552396,223.725292281689
"1084","2",25.403351085752,223.576808900876
"1004","1",37.5360772094405,248.745049412941
"1084","3",32.9985191021431,249.086515628627
"2292","1",15.8760222779579,231.962533104584
"2078","1",26.1256757667932,233.557976755979
"2216","1",21.9067164424724,215.401987728787
"2312","2",15.9393405109207,206.417437251146
"2288","2",24.0792405557495,247.241578716244
"2273","2",31.9900725959056,114.417672834676
"2027","3",21.7754743013674,112.471354523615
"2002","2",25.5760818887528,107.821922489524
"2201","2",27.234707152079,91.2819503535365
"1001","2",34.5872755287643,107.433612896631
"2275","2",30.1722726547074,57.6827236870172
"2034","3",22.5075991325754,93.7437841450851
"1010","1",29.3694450818665,134.625021034597
"2292","2",30.2012919475481,120.26001775126
"1004","3",41.3784254009196,124.729369406177
"2312","3",13.841200068967,160.639820088961
"1184","2",32.4357619040276,85.1036243010642
"2059","2",40.0660790599432,199.718155116905
"2005","2",30.6976997729351,210.123673877294
"1017","2",25.4587053769229,172.573771508916
"2009","1",22.5825036719666,235.932044626062
"2297","2",25.0852161745525,215.611173748894
"2005","1",28.607466122188,232.418343362353
"2313","2",30.4370007142883,199.765434927037
"2049","1",25.3907082077188,228.3232877477
"2162","2",31.6689646640306,240.844486506283
"2092","2",28.7185718062688,115.853886533714
"2316","2",20.2998448136854,212.307760996596
"2092","1",40.4216161779345,101.239506387335
"2137","3",20.6221267461654,178.237179960879
"2049","3",34.0127357915424,87.6634106106424
"2012","2",31.9620212526969,113.296019008998
"2012","3",19.7989182797636,24.0919101445312
"2105","1",2.87927991503189,207.284009914939
"1098","2",20.818497149224,25.6928933791052
"2289","3",18.0692862613656,160.980782693377
"2178","2",30.7422298930653,109.034219528781
"2137","2",22.0595972185262,120.214533286269
"2105","2",19.6954159474957,85.8332408004328
"1162","1",31.4665709381822,87.7873938776289
"2178","1",33.7063871489465,114.851155377004
"2294","3",31.613093081532,77.4912653823525
"2074","3",30.3702324201638,156.837541195284
"1017","3",41.3740147368018,74.2224632653368
"2049","2",25.3747865120275,16.2840528940885
"1081","3",41.2509365247055,49.4241303349177
"2297","3",28.6738120692094,103.134915601273
"2152","2",28.8779836995714,93.58862644873
"2233","1",29.8243045840037,111.927973268969
"2185","2",35.2028993783518,77.4243366463458
"2185","3",13.3699953767664,71.2919851303285
"2018","2",21.8431849094639,56.9410306181087
"2294","1",17.620757983827,58.7948492361223
"2316","3",21.9095394401206,18.7524248881657
"2058","3",30.963361701639,187.202167075074
"2074","2",28.5006354869089,210.94262653104
"1265","2",21.5346090668371,206.25648463141
"2009","3",13.7099128449034,218.274406575405
"1081","2",26.7058687673588,199.099720463682
"2249","1",18.9569692649614,221.054101222937
"2313","3",31.5852207782338,221.792751993553
"2074","1",26.8593888238595,222.162179670869
"2152","1",25.9328659732726,207.057248805346
"2005","3",18.3488698377813,195.131097650107
"2185","1",30.9141678553734,213.765185293528
"1266","1",17.7223448149036,230.033405515428
"1162","3",31.5555211983489,238.105215490609
"2018","3",15.863352942162,210.40106722393
"2092","3",39.8559216443548,92.4046741631104
"1098","3",8.46059314101241,143.719412423034
"1145","2",29.0366280740959,133.430084947381
"2012","1",23.6681334188143,108.095503745054
"1145","1",37.6640590995319,80.078710705472
"2297","1",33.5959934072916,109.230118463449
"1265","3",25.3842322732066,202.560721122843
"2058","1",33.5734190996674,130.365683832044
"2137","1",28.8106951847286,111.312325786414
"1162","2",24.484533796578,141.952150300399
"1266","3",29.9596739574484,86.5783810470044
"2059","1",15.468783420903,107.454751781064
"2316","1",19.7526275792566,115.906845683415
"2058","2",32.928984466216,103.481548680914
"1218","3",35.0214046141006,64.9597317252768
"1176","1",29.7075259740902,71.2841621699867
"1054","2",32.5975322361483,143.83529462025
"1086","2",18.5158867317801,160.032799869379
"1156","3",26.4018392493886,209.660985568536
"1280","3",10.9768924384487,133.526167618515
"1140","1",29.8868134177686,105.71170064399
"1088","1",31.8690525498093,202.499168748934
"1085","3",30.4821861143468,124.530305200846
"1251","3",25.1300707332553,126.344052315653
"1199","1",30.4456900713858,190.618139716766
"1199","3",25.4071016720521,5.98833471795279
"1176","2",24.4292752760413,57.2391719283139
"1259","3",32.9403916169157,94.1895471682837
"2035","3",30.3649807515973,173.587986054184
"1283","3",25.2634634757498,128.331312891983
"1063","1",37.4161724753538,121.354444584254
"1311","2",32.2225662228324,189.657060054346
"1085","1",24.6318062538887,76.9525533701231
"1152","2",21.8481250684212,16.6340823815236
"1195","1",34.2205567714158,68.1204869304396
"1251","1",20.8776028970085,82.5405786211341
"1021","1",12.6211128529408,34.5109739272336
"2020","1",18.5572449907432,51.8247183390143
"1119","2",19.5255326104179,71.6744195298341
"1101","1",27.9999849822134,161.726818917448
"2024","1",23.4448001958898,48.7781513496717
"1311","1",25.9360642304398,101.010259788924
"1259","2",25.7215951824444,13.3182505092102
"1156","2",30.3514087561607,80.2187248270287
"1271","1",26.5066348691189,19.0703083787422
"1088","3",16.8617868114903,94.6419408051321
"1021","2",17.4408582001568,31.6623602883891
"1152","3",23.487564246219,36.6217634686244
"1032","2",29.1162822864746,50.4961181430237
"1283","1",28.2714456997859,136.283998845643
"2020","3",18.1112481489427,103.630498444035
"1276","3",26.8364345001214,34.1139435453292
"1131","3",22.5220442408303,90.594153884545
"1318","1",34.7777749620108,195.777497371399
"1259","1",30.4818518229298,121.376151808246
"1054","3",37.6621095225455,194.877830398944
"2011","2",18.1200292959365,208.582675303047
"1280","2",26.085814154232,204.356336959562
"1063","3",28.5745765492599,218.619133688103
"1156","1",19.8513529685632,228.391324235512
"1139","1",14.9260019623283,254.261989928212
"1139","3",27.8160680162575,251.667532232895
"1141","1",11.0869544662034,222.083410557574
"1195","3",19.98047387598,248.636964036328
"1195","2",27.2319876781444,239.667679087521
"1029","1",10.0563947288902,216.454741797799
"1276","2",12.8300071308376,217.42634890294
"1247","3",26.318194906512,219.360938565982
"1247","3",26.4770664419618,216.902986311561
"1199","2",32.3341438047372,122.681843159299
"1176","3",23.7649690128657,71.5503901865305
"1131","2",23.8267227752149,77.4234638188629
"1141","3",25.3292806492116,116.75426567398
"1271","2",30.1504981322713,69.1552078949681
"1054","1",29.132525790748,81.03589126691
"1023","1",26.0851066022416,113.953839637565
"1247","2",26.5869628109409,87.8288599366708
"1119","1",24.9564555463485,77.306142806865
"1085","2",23.7109733391964,104.467541867547
"1152","1",20.7736179326824,100.929197544596
"1029","2",15.272504921881,82.7702185342947
"1311","3",16.6054463467557,108.307317160296
"1247","1",29.1661638359244,85.0410092391064
"2080","3",32.6359227280702,225.66134072208
"2086","2",30.5030475495103,219.526750964273
"1118","3",37.2324309397635,216.669692704701
"2224","1",26.4412915364446,224.324642961743
"1209","1",41.1649578794871,230.574338160464
"1079","3",34.4239115639775,162.040537500144
"1246","1",17.1752246496142,239.681166790834
"1078","2",40.7594118637734,218.223621913237
"2240","1",28.9461902967234,178.735007396861
"1319","3",39.067106258987,178.331163994267
"2239","3",39.2902690186807,229.368569242891
"1065","2",31.3697781218271,110.718165992958
"1097","3",26.9469448100553,155.694340105213
"2111","2",17.1298298841226,73.4495157925713
"2280","2",25.6148911191036,58.3103560513574
"2080","1",28.4962323984198,71.8990988658155
"2296","1",21.4339097003149,72.303195016531
"2224","2",30.1138803336091,50.5001016923183
"1047","1",1.80791055474317,275.276848909516
"1078","1",28.0275205537019,84.0775338947935
"2208","1",37.1678932743421,198.843214927011
"1150","3",22.7790726386017,81.1653614474698
"2008","3",19.6886541309695,86.9500550783021
"2111","1",24.0096220503891,41.0582771859623
"2296","2",32.7366937718482,60.6173107046952
"1191","1",37.0939351717442,64.4034938080995
"2086","3",24.3082323547284,70.4547852468775
"2280","3",25.3645662079448,77.0097962415608
"1320","1",26.6034569491951,104.761968003095
"1320","3",19.7030885723531,143.674352484753
"2072","1",30.8451486114057,157.137896133919
"1191","3",30.1615262520142,118.901270452991
"1312","2",30.1304820040366,23.6992469709649
"2038","2",17.0999586158821,-4.19578349340374
"2080","2",24.5575540548675,242.760528822285
"2296","3",27.3423221648631,226.002718952907
"1239","2",15.8973969758753,259.196745171735
"2206","2",33.1533841721887,254.512028157824
"1079","2",32.5745893633557,241.015090743675
"1047","3",19.3984411318236,260.035338917314
"2240","2",34.71298202196,258.173421524195
"1246","2",32.0935553000878,245.878380124603
"1168","1",20.3774563251004,262.30853871169
"2240","3",30.5035025131466,272.179548076708
"1319","2",32.9868691508394,251.052796781342
"1168","3",13.7889482447243,282.851415867573
"1065","3",6.77986804919533,262.61852647292
"1038","3",9.93930157871127,237.880414675073
"1057","3",18.3415717775779,142.052941230981
"1118","1",33.7986883832074,80.6304046953584
"2320","1",17.8667395038335,109.669464466293
"2320","2",31.5216368860104,60.771134368528
"1118","2",28.498445370921,98.651953812478
