Plot,Repeat,Area
1279,1,5.04
1279,2,6.64
2223,2,7.06
2223,1,8.01
1071,1,9.55
1071,2,11.93
1071,3,11.12
2231,2,12.96
2231,1,13.37
2231,3,10.72
1203,3,10.46
1203,1,13.83
1203,2,11.24
2033,3,13.03
2033,1,9.28
2033,2,9.98
1255,2,9.9
1255,1,12.48
1255,3,9.2
2267,2,7.47
1308,2,5.12
1308,3,12.16
2184,3,8.95
2184,1,9.99
2184,2,12.1
1242,1,7.08
1242,2,6.85
2277,2,4.22
2277,1,3.59
1125,1,9.32
1125,2,9.05
2264,1,3.87
2264,2,6.74
1206,1,7.33
1206,3,8.55
1206,2,8.02
2092,3,8.1
2092,1,10.69
2092,2,9.62
1072,2,6.3
1072,1,4.08
2055,1,8.48
2055,2,7.14
1212,1,9.29
1212,2,8.63
2263,2,5.33
2263,3,5.87
1216,2,10.18
1216,1,8.18
2187,1,9.73
2187,2,5.55
2187,3,11.39
2142,2,11.66
2142,1,8.52
1140,2,14.64
2254,1,11.45
2254,2,7.65
2254,3,7.21
1079,2,2.65
1079,1,10.99
2259,1,5.71
2259,2,5.88
1105,2,9.32
2157,2,11.16
2157,3,11.21
2157,1,3.34
1136,1,6.32
1136,2,4.98
2060,1,9.39
2060,2,12.04
1183,2,6.35
1183,1,9.67
2098,3,16.83
2098,1,13.86
2098,2,18.26
1102,1,12.4
1102,2,6.94
2049,2,8.41
2049,1,3.81
2049,3,2.36
2196,3,12.33
2196,1,6.55
2196,2,5.51
1199,2,6.52
1199,1,9.66
1199,3,12.72
2271,3,5.41
2271,1,6.67
2271,2,6.66
1023,1,6.23
1023,2,5.45
1023,3,5.74
2314,1,6.19
2314,3,5.71
2314,2,4.25
1175,1,9.64
2287,1,3.98
2287,2,4.19
1073,2,5.73
1073,1,9.73
1073,3,7.23
2246,3,4.83
2246,1,4.03
2246,2,5.48
1244,3,8.27
1244,1,5.8
1244,2,4.78
2241,2,3.97
2241,1,3.67
2241,3,4.44
1010,3,6.27
1010,1,6.49
1010,2,6.08
2305,1,3.2
1069,1,8.29
1069,2,6.52
2281,2,2.56
2281,1,4.56
1220,1,9.36
1220,2,6.96
1220,3,5.39
2227,1,5.19
2227,2,5.94
2227,3,3.59
1281,2,3.92
1281,1,6
1281,3,3.76
2183,2,5.1
2183,1,4.58
2183,3,5.35
1031,3,5.88
1031,2,8.19
1031,1,5.11
2162,1,9.7
2162,2,7.72
2162,3,10.25
1099,2,6.86
1099,1,5.29
1099,3,5.74
2174,1,9.25
2174,2,12.35
1245,3,10.06
1245,1,5.69
1245,2,7.25
2037,2,8.08
2037,1,7.97
1030,1,6.52
1030,2,5.34
2294,1,1.51
2294,2,2.13
1163,1,10.12
1163,2,6.94
1163,3,3.86
2089,2,7.13
2089,3,6.42
2089,1,12.84
1300,2,11.51
1300,3,8.06
2012,1,8.01
2012,2,6.73
2012,3,13.15
1098,1,9.45
1098,3,12.43
2110,2,8.15
2110,1,8.43
1294,1,14.69
1294,3,10.34
2108,3,10.03
2108,1,17.12
1029,1,8.33
1029,2,6.18
1029,3,5.29
2272,1,2.63
2272,2,3.48
1222,2,8.57
1222,3,10.56
1222,1,8.96
2127,1,4.4
2127,2,10.31
2127,3,8.45
1257,1,1.68
1257,3,2.62
2063,1,8.82
2063,2,9.88
1264,1,6.05
1264,2,5.37
2273,2,4.84
2273,1,2.67
1048,3,3.1
1048,1,3.69
2195,1,11.01
2195,2,3.08
2195,3,9.12
1202,1,9.12
1202,2,8.4
2072,3,8.72
1293,2,4.95
1293,1,3.7
1293,3,7.17
2308,1,1.91
2308,2,3.32
1110,2,7.03
2120,1,9.11
2120,2,13.17
2120,3,8.05
1077,2,7.41
1077,1,11.85
2103,1,10.24
2103,2,8.41
2103,3,7.88
1301,1,6.17
1301,2,6.3
1301,3,4.47
2020,2,7.01
2020,1,9.23
2020,3,8.84
1024,3,2.73
1024,1,5.68
1024,2,4.91
2236,1,4.8
2236,2,3.16
2236,3,2.42
1054,1,3.07
2009,1,6.2
1268,3,3.2
1268,2,4.04
1268,1,3.96
2167,3,3.5
2167,2,3.4
2167,1,3.61
1120,1,5.11
2166,2,7.19
2166,1,7.8
2166,3,3.86
1263,3,4.1
1263,2,3.88
2188,3,6.11
2188,1,9.53
2188,2,10.2
1306,2,11.11
1306,1,9.79
1306,3,10.43
2222,3,7.71
2222,1,9.26
2222,2,8.27
1080,1,7.09
1080,2,6.91
1080,3,10.18
2067,1,9.11
2067,2,4.22
2067,3,6.8
1227,2,5.02
1227,3,9.88
1227,1,10.95
2224,1,6.71
2224,2,8.04
2224,3,8.29
1273,1,6.13
1273,2,9.93
1273,3,13.32
2121,2,6.87
2121,1,8.35
2121,3,8.27
1266,3,11.35
1266,2,7.56
1266,1,9.14
2046,2,8.3
2046,1,7.41
1270,3,18.41
1270,1,13.7
1270,2,17.93
2207,1,15.44
2207,2,14.73
1018,2,15.75
2096,2,11.75
2096,1,21
1205,1,11.53
1205,2,12.92
1205,3,14.42
1166,2,14.02
1166,1,14.27
2056,1,9.7
2056,2,9.71
1289,1,11.05
1289,2,10.65
1289,3,11.93
2295,2,5
2295,1,5.88
1225,3,8.14
1225,1,7.02
1225,2,8.69
2097,2,7.24
2097,1,6.8
1272,2,8.23
1272,3,3.66
2090,2,5.02
2090,1,5.22
1188,2,15.56
2040,1,7.62
2040,2,9.23
2040,3,6.72
1064,1,10.31
1064,2,13.2
2083,2,5.51
2083,1,12.79
1305,1,13.03
1305,2,11.93
1305,3,13.66
2233,2,14.67
2233,3,9.09
1280,2,6.22
1280,1,9.5
2036,3,8.36
2036,1,9.18
2036,2,6.37
1068,1,18.94
1068,3,14.75
2210,2,10.02
2210,1,8.45
2210,3,9.07
1066,3,12.9
1066,1,11.29
1066,2,15.79
2151,3,12.15
2151,2,13.51
2151,1,17.58
1250,3,9.07
1250,2,10.61
1250,1,10.47
2169,1,9.4
2169,2,6.22
1067,2,6.64
1067,1,10.26
1067,3,10.45
2019,3,10.97
2019,1,14.66
2019,2,11.43
1317,1,9.31
1317,3,4.73
2062,2,5.58
2062,1,8.5
1241,1,6.45
1241,2,12.99
1241,3,5.29
2293,1,9.82
2293,2,10.56
2152,3,3.85
2152,1,9.72
2152,2,9.48
1304,1,8.02
1304,2,8.16
2280,2,6.75
2280,1,8.32
2280,3,5.32
1146,3,18.26
1146,1,24.6
1146,2,21.47
2112,1,13.96
2112,2,12.25
1261,2,7.07
1261,1,9.63
2125,1,9.97
2125,2,7.54
2125,3,7.14
1187,1,11.37
1187,2,6.07
1187,3,11.29
2010,2,15.78
2010,1,19.75
2010,3,12.44
1312,3,9.54
1312,1,11.59
1312,2,17.63
2252,1,9.73
2252,2,17.06
2252,3,11.73
1191,2,8.26
1191,1,8.72
1191,3,6.66
2213,1,6.55
2213,2,6.03
1133,3,4.64
1133,1,8.87
1133,2,6.67
2192,2,3.76
2192,3,7.41
1192,3,5.91
1192,1,4.16
1192,2,6.75
2226,1,7.96
2226,2,6.53
2226,3,5.02
1258,1,5.27
1258,3,5.78
1258,2,5.14
2214,3,6.98
2214,2,2.26
2214,1,9.03
1167,1,10.33
1167,2,9.75
1167,3,8.6
2023,2,11.66
2023,1,9.07
2023,3,10.76
1147,1,10.33
1147,2,8.07
2274,1,9.33
2274,2,4.15
1236,2,11.16
1236,1,7.17
1236,3,7.22
2257,3,4.36
2257,1,6.67
2257,2,6.32
1249,1,4.35
1249,2,4.69
2093,1,7.68
2093,2,10.26
1285,2,11.28
1285,1,13.29
2260,1,12.55
2260,2,5.86
1032,1,14.29
1032,3,9.95
2111,2,10.37
2111,1,12.27
2111,3,9.49
1158,2,10
1158,1,15.88
2026,2,8.93
2026,1,9.43
1051,1,16.66
1051,2,10.09
1051,3,8.45
2298,2,6.39
2298,1,5.13
2298,3,5.07
1186,1,8.67
1186,2,9.04
2200,1,5.41
2200,2,6.12
1298,1,5.78
2058,1,6.26
2058,2,8.67
1271,1,6.78
1271,2,7.5
1271,3,11.19
2133,1,14.75
2133,2,9.76
2133,3,8.28
1211,2,7.18
1211,3,10.02
1211,1,10.44
2051,1,6.19
2051,2,7.43
2051,3,7.22
1145,1,6.84
1145,2,10.2
2086,2,9.93
2086,1,6.97
2086,3,6.31
1278,3,5.94
1278,2,3.94
1278,1,4.53
2255,2,7.3
2255,1,6.07
2255,3,7.8
1208,2,4.59
2025,1,6.73
2025,2,5.18
1118,1,7.24
1118,3,5.72
2276,2,2.9
2276,3,5.54
2276,1,4.13
1104,1,22.74
1104,2,13.45
2218,1,6.97
2218,2,6.5
1302,2,13.29
1302,1,15.63
2045,1,6.88
2045,2,4.96
1154,1,10.17
1154,2,11.8
2212,2,6.46
1033,3,3.62
1033,1,5.76
1033,2,6.21
2291,1,4.39
2291,2,5.99
1299,2,3.78
1299,3,9.83
1299,1,5.16
2091,1,7.15
2091,3,4.76
1094,2,7.77
2079,2,15.86
2079,1,1.9
1307,3,6.77
1307,1,6.46
