Plot,Repeat,SLA
1001,1,131.9786096
1001,2,100.3252033
1001,3,102.8333333
1002,1,143.4883721
1002,2,123.4
1002,3,129.2146597
1003,1,86.59649123
1003,2,95.65891473
1004,1,115.8685446
1004,2,138.6516854
1004,3,124.6464646
1005,1,146.035503
1005,2,136.3535912
1005,3,158.2051282
1006,1,126.5641026
1006,2,143.4883721
1006,3,109.2035398
1007,1,105.9227468
1007,2,93.13207547
1007,3,130.5820106
1008,1,155.2201258
1008,2,133.4054054
1008,3,153.2919255
1009,1,125.2791878
1009,2,120.9803922
1009,3,140.2272727
1010,1,140.2272727
1010,2,113.7327189
1010,3,141.0285714
1011,1,129.2146597
1011,2,146.035503
1011,3,141.0285714
1012,1,125.2791878
1012,2,129.2146597
1012,3,160.2597403
1013,1,114.2592593
1013,2,125.9183673
1013,3,132.688172
1014,1,135.6043956
1014,2,129.8947368
1014,3,113.7327189
1016,1,107.3043478
1016,2,119.8058252
1016,3,114.7906977
1017,1,101.563786
1017,2,109.6888889
1017,3,112.1818182
1018,1,122.7860697
1018,2,111.6742081
1018,3,136.3535912
1019,1,129.2146597
1019,2,134.863388
1019,3,143.4883721
1020,1,125.9183673
1020,2,126.5641026
1020,3,131.9786096
1021,1,127.2164948
1021,2,137.1111111
1021,3,116.9668246
1022,1,114.7906977
1022,2,99.91902834
1022,3,123.4
1023,1,124.0201005
1023,2,115.8685446
1023,3,135.6043956
1024,1,116.9668246
1024,2,141.0285714
1024,3,141.8390805
1025,1,128.5416667
1025,2,125.2791878
1025,3,107.3043478
1026,1,148.6746988
1026,2,141.8390805
1026,3,137.1111111
1027,1,136.3535912
1027,2,137.1111111
1027,3,150.4878049
1028,1,141.0285714
1028,2,156.2025316
1029,1,156.2025316
1029,3,133.4054054
1030,1,91.0701107
1030,2,105.4700855
1030,3,108.722467
1031,1,100.7346939
1031,2,105.4700855
1031,3,103.2635983
1033,2,131.2765957
1033,3,134.863388
1034,1,157.1974522
1034,2,118.0861244
1034,3,122.1782178
1035,1,123.4
1035,2,133.4054054
1035,3,120.9803922
1036,1,119.8058252
1036,2,117.5238095
1036,3,126.5641026
1037,1,150.4878049
1037,2,137.1111111
1037,3,144.3274854
1038,1,136.3535912
1038,2,119.8058252
1038,3,134.863388
1039,1,129.2146597
1039,2,139.4350282
1039,3,121.1288344
1040,1,119.8058252
1040,2,125.9183673
1040,3,100.7346939
1041,1,108.722467
1041,2,122.7860697
1041,3,120.9803922
1042,1,132.688172
1042,2,139.4350282
1042,3,146.9047619
1043,1,118.6538462
1043,2,117.5238095
1043,3,122.7860697
1044,1,139.4350282
1044,2,120.9803922
1044,3,129.2146597
1045,1,108.245614
1046,1,123.4
1046,2,153.2919255
1046,3,149.5757576
1047,1,118.0861244
1047,2,124.0201005
1047,3,111.1711712
1048,1,131.9786096
1048,2,115.3271028
1048,3,124.6464646
1049,1,137.877095
1049,2,146.9047619
1049,3,124.0201005
1050,1,147.7844311
1050,2,134.1304348
1050,3,151.4110429
1051,1,122.1782178
1051,2,144.3274854
1051,3,156.2025316
1052,1,122.7860697
1052,2,110.1785714
1052,3,119.8058252
1053,1,137.877095
1053,2,146.9047619
1053,3,131.9786096
1054,1,111.6742081
1054,2,106.8398268
1054,3,130.5820106
1055,1,131.9786096
1055,2,129.2146597
1055,3,120.9803922
1056,1,141.0285714
1056,2,146.035503
1056,3,136.3535912
1057,1,153.2919255
1057,2,156.2025316
1057,3,175.035461
1058,1,112.1818182
1058,2,139.4350282
1058,3,105.4700855
1059,1,139.4350282
1059,2,136.3535912
1059,3,106.1505376
1060,1,111.1711712
1060,2,141.8390805
1060,3,128.5416667
1061,1,104.5762712
1061,2,88.77697842
1061,3,105.9227468
1062,1,128.5416667
1062,2,109.2035398
1062,3,108.245614
1063,1,123.4
1063,2,131.2765957
1063,3,111.1711712
1064,1,99.51612903
1064,2,120.9803922
1064,3,122.7860697
1065,1,127.8756477
1065,2,135.6043956
1065,3,161.3071895
1066,1,131.9786096
1066,2,137.1111111
1066,3,159.2258065
1067,1,118.6538462
1067,2,122.1782178
1067,3,122.1782178
1068,1,115.3271028
1068,2,140.2272727
1068,3,126.5641026
1069,1,106.8398268
1069,2,137.1111111
1069,3,110.6726457
1070,1,138.6516854
1070,2,118.6538462
1070,3,111.1711712
1071,1,107.7729258
1071,2,90.4029304
1071,3,97.93650794
1072,1,134.863388
1072,2,142.6589595
1072,3,146.9047619
1073,1,128.5416667
1073,2,122.1782178
1073,3,124.6464646
1074,1,131.9786096
1074,2,112.1818182
1074,3,137.877095
1075,1,125.2791878
1075,2,110.6726457
1075,3,122.1782178
1076,1,146.035503
1076,2,134.1304348
1076,3,140.2272727
1077,1,189.8461538
1077,2,170.2068966
1077,3,158.2051282
1078,1,108.245614
1078,2,124.0201005
1078,3,143.4883721
1079,1,90.73529412
1079,2,76.17283951
1079,3,96.40625
1080,1,132.688172
1080,2,105.0212766
1080,3,146.035503
1081,1,136.3535912
1081,2,147.7844311
1081,3,140.2272727
1082,1,142.6589595
1082,2,146.035503
1082,3,140.2272727
1083,1,128.5416667
1083,2,130.5820106
1084,1,146.035503
1084,2,140.2272727
1084,3,177.5539568
1085,1,108.722467
1085,2,101.147541
1085,3,101.563786
1086,1,141.0285714
1086,2,128.5416667
1086,3,116.4150943
1087,1,116.4150943
1087,2,98.32669323
1087,3,109.2035398
1088,1,121.5763547
1088,2,125.9183673
1088,3,125.9183673
1089,1,159.2258065
1089,2,116.9668246
1089,3,115.3271028
1090,1,131.9786096
1090,2,135.6043956
1090,3,111.6742081
1091,1,114.7906977
1091,2,116.9668246
1091,3,123.4
1092,1,111.1711712
1092,2,113.2110092
1092,3,119.2270531
1093,1,119.2270531
1093,2,115.3271028
1093,3,127.2164948
1094,1,119.8058252
1094,2,125.2791878
1094,3,105.0212766
1095,1,114.7906977
1095,2,120.9803922
1095,3,114.7906977
1096,1,134.863388
1096,2,106.3793103
1096,3,132.688172
1097,1,111.6742081
1097,2,108.722467
1097,3,112.1818182
