"Plot","Repeat","NPQ_ind_amp","NPQ_ind_rate","NPQ_rel_amp","NPQ_rel_rate","NPQ_rel_res","phiPSII_ind_amp","phiPSII_ind_rate","phiPSII_ind_res","NPQ_ind_linear","maxNPQ","endNPQ","endFvFm","initialFvFm"
1001,"1.00",2.19964787359571,0.00766292126207506,1.98420771865204,0.0193734281035692,0.210842933424931,0.213437193293382,0.0159940351409459,0.547317064413638,0.012,2.18,0.19,0.76,0.79
1001,"2.00",2.12721677276744,0.010019487446941,1.99881204104924,0.0130348642014741,0.187800163397048,0.232259569729468,0.0101418805799559,0.497343663752112,0.0177,2.17,0.17,0.73,0.76
1001,"3.00",2.59075163566431,0.00961931408546739,2.46680155776626,0.0164885742813349,0.166868856918305,0.271938311338626,0.01310241173542,0.473721772962405,0.0226,2.61,0.14,0.75,0.77
1002,"1.00",2.57449977119875,0.00629933081793202,2.29038543421287,0.0232999828000465,0.278850365624007,0.244579621698758,0.018865202184386,0.487648418188387,0.0137,2.58,0.29,0.73,0.78
1002,"2.00",2.43726311300946,0.00930326901446633,2.19810131433266,0.0161665717524528,0.24376916495242,0.237613044134031,0.0131234269621503,0.503828303218305,0.0203,2.48,0.24,0.74,0.78
1002,"3.00",2.56372047710229,0.0083636108110906,2.25781958128404,0.0201614485976448,0.245520496586969,0.236982146305036,0.014970865638314,0.504779373013719,0.0205,2.59,0.22,0.74,0.78
1003,"1.00",3.15688277668405,0.00364961609774725,2.34900463624144,0.0244918929890068,0.264022019247917,0.231705100192423,0.01700089300434,0.530414167307908,0.0087,2.72,0.2,0.77,0.8
1003,"2.00",2.54720930602903,0.00551111707949896,2.16861300382409,0.0264718167970269,0.246657652215078,0.221553117305201,0.0221956511419016,0.549886369639083,0.0115,2.44,0.22,0.77,0.81
1003,"3.00",2.90347002756401,0.00584184522191961,2.39984960041298,0.0299939237012923,0.294063377302317,0.240127315780491,0.0221223259975265,0.51749948072672,0.0114,2.76,0.22,0.76,0.8
1004,"1.00",2.40830807450307,0.00549846407699925,2.02299145643152,0.0274252709171439,0.22583450910513,0.217014494981296,0.0220630834940988,0.541172422729156,0.0079,2.28,0.18,0.76,0.79
