Plot,Repeat,C,N,CN,d13C,d15N
1113,1,44.74,2.87,15.58885017,-13.86,4.99
1113,2,45.72,2.8,16.32857143,-13.84,3.96
1113,3,41.65,3.39,12.28613569,-14.33,6.12
2262,1,43.85,3.44,12.74709302,-13.86,6.21
2262,2,51.43,4.51,11.40354767,-14.18,1.65
2262,3,45.38,3.83,11.84856397,-14.15,1.7
1039,1,42.34,2.94,14.40136054,-14.31,1.24
1039,2,45.36,3.82,11.87434555,-14.3,1.19
1039,3,45.62,2.62,17.41221374,-14.21,5.06
1185,1,46.3,2.94,15.74829932,-14.27,4.78
1185,2,40.73,2.02,20.16336634,-14.11,5.68
1185,3,38.9,2.04,19.06862745,-13.78,4.48
1010,1,45.11,3.16,14.27531646,-13.27,3.4
1010,2,48.06,1.98,24.27272727,-13.63,4.65
1010,3,43.85,3.42,12.82163743,-13.45,5.93
2227,1,45.9,3.18,14.43396226,-13.23,6.75
2227,2,39.84,2.89,13.78546713,-13.56,3.85
2227,3,43.97,2.7,16.28518519,-13.78,3.35
2059,1,40.63,2.48,16.38306452,-13.98,2.09
2059,2,46.16,2.92,15.80821918,-14.18,4.06
2059,3,45.86,2.88,15.92361111,-13.98,6.9
2051,1,43.6,2.52,17.3015873,-14.12,4.9
2051,2,48.6,3.14,15.47770701,-13.86,7.48
2051,3,36.46,2.3,15.85217391,-13.62,3.01
2313,1,44.47,2.27,19.59030837,-13.68,4.04
2313,2,38.15,2.13,17.91079812,-13.57,4.25
2313,3,42.16,3.24,13.01234568,-14.17,5.31
2107,1,41.89,2.54,16.49212598,-13.71,5.13
2107,2,50.55,3.64,13.88736264,-14.22,5.93
2107,3,39.21,2.56,15.31640625,-14,4.54
2289,1,48.62,3.48,13.97126437,-13.99,4.44
2289,2,43.39,2.85,15.2245614,-14.12,2.32
2289,3,44.2,3.54,12.48587571,-14.21,4.76
1082,1,51.51,3.23,15.94736842,-13.58,7.11
1082,2,44.2,3.21,13.7694704,-13.2,5.82
1082,3,43.14,2.17,19.88018433,-13.85,3.8
1165,1,42.9,2.12,20.23584906,-13.95,3.55
1165,2,43.08,2.37,18.17721519,-14.08,2.97
1165,3,44.98,2.39,18.82008368,-13.98,4.1
1149,1,43.86,2.42,18.12396694,-13.8,6.17
1149,2,41.26,2.73,15.11355311,-14.55,5.61
1149,3,40.85,2.82,14.4858156,-14.33,5.28
1126,1,43.29,2.67,16.21348315,-14.27,3.36
1126,2,42.69,3.07,13.90553746,-15.93,3.82
1126,3,44.14,2.83,15.59717314,-14.25,4.27
2228,1,44.09,3.09,14.26860841,-13.9,4
2228,2,48.11,3.46,13.90462428,-14.35,5.02
2228,3,44.61,3.01,14.82059801,-14.04,5.52
1085,1,45.24,2.61,17.33333333,-13.97,7.04
1085,2,44.79,2,22.395,-13.25,4.7
1085,3,44.28,3.38,13.10059172,-13.82,4.07
1228,1,45.01,3.08,14.61363636,-14.01,4.52
1228,2,37.47,2.89,12.96539792,-14,6.76
1228,3,44.9,3.44,13.05232558,-13.88,5.71
1013,1,45.22,2.54,17.80314961,-14.2,4.14
1013,2,44.59,2.55,17.48627451,-13.95,3.12
1013,3,43.33,1.93,22.4507772,-14.15,4.8
2118,1,41.7,2.21,18.86877828,-13.71,3.99
2118,2,41.64,3.1,13.43225806,-13.69,4.91
2118,3,43.97,2.94,14.95578231,-14.07,5.19
