Plot,Repeat,C,N,CN,d13C,d15N
2064,1,42.2888082,2.6107851,16.19773615,-13.261,1.174
2064,2,45.2331469,2.8368186,15.9450262,-13.733,2.263
2064,3,42.1098777,2.0757314,20.28676625,-13.308,1.409
1265,1,39.7072532,2.5975077,15.28667391,-13.25,3.811
1265,2,44.5349981,2.1462203,20.75043186,-13.682,4.155
1265,3,43.334221,2.0810342,20.82340646,-13.285,0.761
1184,1,46.3021301,3.3438708,13.84686576,-14.806,2.225
1184,2,43.5328819,2.4494988,17.7721589,-14.184,3.005
1184,3,41.4572917,2.6728352,15.51060526,-14.146,2.434
2103,1,46.9190369,3.0926331,15.17122639,-14.583,1.939
2103,2,44.2923423,1.8702298,23.68283422,-13.964,1.396
2103,3,44.9886214,2.6312039,17.09811292,-14.312,3.96
2178,1,44.3879048,2.7177772,16.3324296,-14.521,4.815
2178,2,44.8514344,2.5136943,17.8428357,-14.416,4.745
2178,3,42.1781679,1.9805535,21.29615176,-14.027,2.955
1290,1,45.7424315,2.298278,19.90291492,-14.511,2.335
1290,2,41.01765,1.2309613,33.32164057,-13.824,-1.102
1290,3,29.0503939,1.2332298,23.55635089,-14.179,1.909
2245,1,43.680084,3.1525107,13.85564972,-13.868,2.713
2245,2,44.814369,3.0699335,14.59783054,-14.311,3.68
2245,3,45.2830014,3.2780903,13.81383588,-14.315,4.73
1241,1,44.0704593,3.1396788,14.03661397,-14.081,2.31
1241,2,43.9863509,2.9390503,14.96617833,-13.805,2.162
1241,3,43.3437213,2.7992892,15.48383115,-14.401,1.653
1266,1,43.8892418,2.0556344,21.35070409,-13.481,3.421
1266,2,44.7169291,1.7090082,26.16542688,-13.618,2.262
1266,3,44.8037722,1.5593368,28.73258183,-13.674,1.869
2288,1,43.67721,2.5218137,17.31976077,-13.955,3.514
2288,2,44.990952,3.0889121,14.56530667,-14.229,5.202
2288,3,44.7917385,2.5260834,17.73169425,-13.802,2.632
2036,1,44.6034908,3.9432157,11.31145091,-14.375,3.797
2036,2,46.990186,3.4319304,13.69205681,-14.624,4.459
2036,3,60.5769977,4.8217971,12.56315777,-14.048,5.04
1047,1,45.7643104,3.9383582,11.62014933,-14.769,2.855
1047,2,45.8573456,3.522549,13.01822788,-14.617,2.582
1047,3,43.1079843,3.5955857,11.9891411,-14.24,3.156
2260,1,45.0766785,3.3626295,13.40518737,-13.865,2.906
2260,2,43.936724,2.5772411,17.04796808,-13.816,3.333
2260,3,44.6385145,3.3466993,13.33807148,-13.796,3.723
1123,1,46.2484803,2.2517096,20.53927394,-14.232,1.552
1123,2,44.311764,2.54757,17.39373756,-14.015,2.807
1123,3,45.9943104,3.0450836,15.10444915,-14.293,2.828
1316,1,45.3900922,2.4992657,18.16137124,-14.347,2.179
1316,2,37.8234951,1.5988912,23.6560781,-14.325,-0.861
1316,3,43.691251,2.1298865,20.5134175,-13.972,3.112
2020,1,44.2550067,2.306443,19.18755707,-14.018,2.274
2020,2,44.3545849,2.6182795,16.94035526,-13.998,3.369
2020,3,44.2871189,2.4603424,18.00038844,-14.345,4.62
1134,1,44.7072234,3.0643982,14.58923432,-13.473,3.534
1134,2,47.4392969,3.572042,13.28072204,-14.179,5.439
1134,3,43.9738501,2.9874014,14.71976618,-13.488,2.998
2038,1,43.3714683,3.1108442,13.94202522,-13.548,2.504
2038,2,43.6285794,2.6883824,16.22856161,-13.003,4.932
2038,3,43.3767785,2.7003711,16.06326571,-13.393,3.138
2209,1,46.0502924,2.9761692,15.47300886,-13.317,2.669
2209,2,46.4565108,2.8232211,16.45514437,-13.392,1.581
2209,3,46.2954712,3.716892,12.45542545,-13.652,1.632
1068,1,43.4913109,2.5050221,17.36164759,-13.829,3.852
1068,2,43.9560582,1.7009678,25.84179324,-13.271,1.44
1068,3,44.9922891,2.9957481,15.01871573,-14.028,2.283
1062,1,44.8359167,2.4224717,18.50833457,-13.742,1.65
1062,2,46.7812546,2.4390888,19.17980789,-14.309,2.048
1062,3,44.2166479,2.5113137,17.60697913,-14.103,3.102
2188,1,45.3315647,2.529689,17.9198173,-14.35,2.244
2188,2,44.1243101,2.2975821,19.20467177,-13.443,0.89
2188,3,40.9272081,2.9992431,13.64584555,-14.114,2.217
1299,1,44.2046101,2.0579146,21.48029374,-13.39,3.622
1299,2,45.1882637,1.6125313,28.02318547,-13.624,2.877
1299,3,44.5620344,1.6354354,27.24781083,-13.891,3.1
2294,1,42.7713081,2.1531367,19.86465054,-13.397,1.72
2294,2,44.149781,1.857591,23.76722379,-13.308,2.001
2294,3,45.2509757,2.1249313,21.29526526,-13.912,0.476
2261,1,45.9474609,3.289438,13.96817964,-14.715,5.738
2261,2,44.27787,2.8671334,15.44325423,-13.969,6.371
2261,3,44.3833928,3.3529628,13.23706687,-14.139,4.081
1076,1,,,#DIV/0!,,
1076,2,,,#DIV/0!,,
1076,3,,,#DIV/0!,,
1279,1,44.0697921,2.8693872,15.35860761,-14.188,2.974
1279,2,44.6582403,2.8592409,15.6189149,-13.933,3.498
1279,3,45.6211358,3.4607718,13.18235886,-14.67,2.897
2002,1,41.8345315,2.2953409,18.22584676,-14.226,1.765
2002,2,45.1804476,2.2899398,19.72997177,-13.893,0.893
2002,3,43.7717226,2.4792772,17.65503373,-13.743,2.31
2256,1,44.2117834,3.8307918,11.5411606,-14.013,3.347
2256,2,44.764235,4.4911879,9.967125847,-14.304,3.206
2256,3,42.5204983,3.9400014,10.79200081,-13.709,3.756
1295,1,44.3060824,3.4956497,12.67463453,-13.846,1.278
1295,2,43.8901684,3.7242698,11.7849057,-14.035,2.557
1295,3,37.9283991,3.1541057,12.02508816,-14.496,2.369
1148,1,46.069226,3.7028703,12.44149059,-14.162,3.956
1148,2,46.0970128,3.6191842,12.7368518,-14.454,3.256
1148,3,47.6693011,4.0524215,11.76316459,-14.558,4.089
2268,1,38.2270917,3.0775702,12.42119244,-13.959,2.492
2268,2,45.3269568,3.6990124,12.25379964,-13.978,4.653
2268,3,44.3204759,3.4798708,12.73624179,-13.789,4.776
2265,1,45.0646991,2.1615109,20.84870315,-13.314,3.047
2265,2,44.0893921,2.3252545,18.96110387,-13.005,3.322
2265,3,40.4556885,1.6985614,23.81761913,-13.124,0.973
1081,1,44.5531465,2.8269131,15.76035234,-13.824,5.2
1081,2,44.7443704,2.0292832,22.04934747,-13.65,3.397
1081,3,46.0378856,2.6728099,17.22452674,-13.967,7.763
1191,1,44.4143551,3.1237686,14.21819628,-13.907,4.142
1191,2,42.6920918,1.776086,24.03717602,-13.088,0.327
1191,3,43.9094337,2.6489929,16.57589709,-13.625,2.104
2079,1,42.988518,1.5444912,27.83344962,-13.123,0.178
2079,2,43.9651831,1.4055734,31.2791798,-13.275,-0.736
2079,3,42.4811648,1.480449,28.69478435,-13.848,-0.454
2263,1,45.7742246,3.453068,13.25610286,-14.537,1.773
2263,2,43.6709384,3.7429157,11.66762543,-14.343,4.011
2263,3,41.9856269,3.4369385,12.21599598,-14.325,4.94
1235,1,44.3537812,2.744363,16.16177641,-14.224,1.741
1235,2,42.7483843,2.6828712,15.93381907,-14.158,3.198
1235,3,45.5163065,3.2770155,13.88956094,-14.294,4.244
1296,1,44.9598406,3.4427826,13.05915761,-14.02,4.315
1296,2,42.6307319,3.2970634,12.92990966,-14.431,2.277
1296,3,,,#DIV/0!,,
2168,1,43.031346,3.5722574,12.04598135,-13.757,5.047
2168,2,44.4597737,3.1552415,14.09076728,-13.393,2.01
2168,3,43.5822899,3.4356926,12.68515405,-13.648,2.578
