Plot,Repeat,N,d15N,C,d13C,CN
1026,3,3.81,1.49,40.73,-29.3,10.69028871
1093,1,3.68,1.63,42.14,-28.65,11.45108696
1093,3,3.28,1.82,40.09,-28.34,12.22256098
1175,1,3.5,1.48,42.31,-29.79,12.08857143
1175,2,3.69,0.43,41.25,-28.06,11.17886179
1178,1,3.29,2.69,42.62,-28.74,12.95440729
1178,2,2.48,3.1,40.05,-28.46,16.14919355
1178,3,3.19,1.08,40.85,-28.59,12.80564263
2108,2,2.93,1.04,39.68,-28.81,13.54266212
2108,3,4.11,2.67,41.64,-29.66,10.13138686
2169,1,3.27,1.41,39.91,-29.41,12.20489297
2169,3,2.96,3.46,40.14,-29.5,13.56081081
2175,1,2.6,1.49,41.15,-28.28,15.82692308
2175,2,2.76,0.76,41.05,-28.13,14.87318841
2175,3,2.29,0.31,40.98,-27.61,17.89519651
2191,1,3.31,3.2,41.07,-29.79,12.40785498
2191,2,2.87,1.6,39.82,-29.53,13.87456446
2191,3,3.25,1.96,41.63,-29.69,12.80923077
2227,3,2.77,4.93,40.47,-30.48,14.6101083
2233,2,3.4,1.51,39.14,-30.64,11.51176471
2233,3,3.73,1.76,41.02,-30.53,10.99731903
2241,1,2.82,0.48,40.07,-29.5,14.20921986
2241,3,2.93,-0.38,41.25,-28.93,14.07849829
2265,1,2.89,1.23,41.47,-29.91,14.34948097
2265,2,3.2,1.99,41.59,-30.06,12.996875
2265,3,3.54,0.87,42.55,-28.56,12.01977401
1003,1,3.9,0.64,41.55,-29.78,10.65384615
1003,2,3.65,2.32,40.77,-30.34,11.16986301
1003,3,3.3,1.96,41.13,-30.44,12.46363636
1006,1,2.92,2.18,41.02,-28.53,14.04794521
1006,2,2.92,2.86,41.66,-29.49,14.26712329
1006,3,2.86,2.39,40.82,-28.92,14.27272727
1007,1,3.09,2.41,40.64,-30.15,13.15210356
1007,2,2.45,0.95,31.31,-30.35,12.77959184
1007,3,3.25,3.31,40.93,-30.71,12.59384615
1015,1,3.79,3.16,41.49,-29.68,10.94722955
1015,2,3.5,3.65,37.16,-29.68,10.61714286
1015,3,3.46,2.7,42.08,-29.95,12.16184971
1017,1,2.62,1.52,40.15,-29.8,15.32442748
1017,2,2.61,1.44,40.21,-30.05,15.40613027
1017,3,2.4,3.15,40.34,-30.73,16.80833333
1020,1,3.38,3.66,40.02,-30.51,11.84023669
1020,2,3.88,2.43,39.81,-31.13,10.26030928
1020,3,4.14,1.46,41.44,-30.42,10.00966184
1032,1,2.83,0.57,40,-30.03,14.13427562
1032,2,3.64,0.62,41.56,-28.81,11.41758242
1032,3,2.88,1.5,40.02,-29.08,13.89583333
1045,1,3.22,5.78,40.67,-29.92,12.63043478
1045,2,3.34,3.9,40.89,-29.92,12.24251497
1045,3,2.94,3.22,40.99,-29.58,13.94217687
1089,1,2.73,1.47,40.2,-29.16,14.72527473
1089,2,3.16,1.71,41.72,-29.64,13.20253165
1089,3,2.55,1.16,33.78,-29.4,13.24705882
1067,1,3.63,1.8,40.99,-29.33,11.29201102
1067,3,2.73,2,41.23,-26.82,15.1025641
1108,1,3.84,5.73,42.31,-30.6,11.01822917
1108,2,3.25,5.73,40.75,-29.6,12.53846154
1108,3,4.02,0.79,41.27,-29.8,10.26616915
1111,1,4.19,5.1,41.16,-30.04,9.823389021
1111,2,5.44,1.52,45.05,-30.2,8.28125
1111,3,4.71,3.62,41.15,-29.94,8.736730361
1114,1,4.25,1.08,42.67,-29.24,10.04
1114,2,4.19,3.01,42.34,-29.22,10.10501193
1114,3,3.86,1.36,42.63,-28.97,11.04404145
1120,1,3.35,0.27,37.37,-29.71,11.15522388
1120,2,3.32,0.38,47.71,-27.71,14.37048193
1121,1,4.57,0.49,44.74,-28.53,9.789934354
1121,2,3.96,2.65,42.24,-29.08,10.66666667
1121,3,4.14,2.69,41.99,-29.2,10.14251208
1123,2,3.82,1.31,45.38,-29.87,11.87958115
1123,3,4.37,1.57,42.99,-29.4,9.837528604
1127,1,4.95,3.78,44.12,-28.79,8.913131313
1127,2,3.53,1.61,39.25,-28.71,11.11898017
1127,3,5.22,4.09,45.16,-29.7,8.651340996
1130,1,3.38,4.52,41.22,-28.91,12.19526627
1130,2,3.62,4.52,46.76,-29.03,12.91712707
1130,3,4.21,4.51,43.31,-29.83,10.28741093
1140,1,3.67,3.47,39.94,-29.07,10.88283379
1140,2,3.57,1.91,36.07,-29.77,10.10364146
1140,3,4.71,1.93,44.77,-29.33,9.505307856
1143,1,4.13,4.98,43.82,-30.49,10.61016949
1143,2,4,2.34,40.16,-29.73,10.04
1143,3,5.23,4.34,43.42,-29.89,8.30210325
1219,1,5.12,2.51,41.26,-29.76,8.05859375
1219,2,4.1,2.67,40.37,-30.12,9.846341463
1219,3,3.4,3.31,36.04,-29.81,10.6
1234,1,3.26,2.08,37.32,-30.02,11.44785276
1234,3,3.89,2.24,41.58,-30.03,10.68894602
1269,1,4.54,5.01,45.94,-29.6,10.11894273
1269,2,3.82,3.05,43.78,-28.97,11.46073298
1269,3,3.83,4.06,40.28,-30.21,10.51697128
1270,1,3.68,2.62,34.17,-29.51,9.285326087
