Plot,Repeat,N,d15N,C,d13C,CN
1001,Pooled,3.56,1.71,41.75,-14.35,11.71506809
1002,Pooled,3.13,0.61,41.84,-14.3,13.36657155
1003,Pooled,3.06,0.98,42.53,-13.96,13.89305855
1004,Pooled,3.54,1.67,43.04,-13.85,12.16309027
1005,1,2.7,4.2,42.49,-14.01,15.71290254
1005,2,2.5,1.87,43.15,-14.07,17.27849927
1005,3,2.59,1.61,41.82,-14.15,16.13235226
1006,1,2.92,2.74,41.44,-13.58,14.20991774
1006,2,2.82,-0.84,40.92,-14,14.493869
1006,3,2.68,3.02,42.32,-13.64,15.79791551
1007,Pooled,3.65,1.97,42.18,-14.38,11.5584245
1008,Pooled,3.28,2.43,41.12,-14.5,12.53355546
1009,Pooled,2.5,0.86,41.99,-13.97,16.78292449
1010,Pooled,3.65,1.58,37.65,-14.42,10.30526103
1011,Pooled,2.02,0.56,43.61,-16.53,21.61926578
1012,Pooled,3.49,0.74,40.67,-14.16,11.64506733
1013,1,3.18,3.2,42.22,-13.87,13.25809971
1013,2,2.31,1.8,41.54,-13.74,18.00744943
1013,3,2.66,2.1,40.39,-13.58,15.16030984
1014,Pooled,2.22,1.07,39.17,-13.37,17.66963586
1015,Pooled,2.81,1.69,41.67,-13.9,14.83129585
1016,Pooled,2.82,2.28,42.4,-13.76,15.02830727
1017,1,2.21,1.39,42.13,-13,19.01953139
1017,2,2.55,2.09,42.83,-13.06,16.79757992
1017,3,2.72,1.98,41.57,-13.19,15.26833799
1018,Pooled,3.88,1.33,42.1,-14.67,10.85112843
1019,Pooled,2.58,0.66,42.01,-13.81,16.29811943
1020,Pooled,3.22,-0.39,42.79,-14,13.28879053
1021,Pooled,3.53,1.15,43.14,-13.4,12.20943701
1022,Pooled,2.31,0.68,44.34,-13.4,19.16528956
1023,Pooled,2.93,0.47,41.09,-13.93,14.01703773
1024,Pooled,2.65,2.14,44.22,-15.62,16.66219563
1025,1,2.29,2.26,42.23,-13.57,18.45119418
1025,2,2.92,0.95,42.61,-13.79,14.60562626
1025,3,3.16,1.04,43.02,-13.89,13.61229265
1026,Pooled,2.88,1.29,41.45,-13.49,14.39246303
1027,Pooled,3.24,3.43,41.56,-14.43,12.83550296
1029,Pooled,2.85,0.12,42.06,-13.85,14.73998655
1030,Pooled,2.82,1.87,44.54,-13.71,15.80953756
1031,1,2.36,1.62,42.03,-13.56,17.79916546
1031,2,2.71,2.58,42.6,-14.19,15.7171372
1031,3,3.16,2.62,43.27,-13.23,13.70941893
1032,Pooled,3.59,2.33,42.5,-14.27,11.84497223
1033,1,3.04,2.77,41.88,-13.66,13.76148397
1033,2,2.9,0.73,42.91,-13.81,14.78145286
1033,3,3.47,1.36,41.81,-14.22,12.04528229
1034,Pooled,3.18,0.4,41.04,-14.1,12.92543353
1035,Pooled,2.96,0.93,41.89,-13.82,14.1612274
1036,Pooled,2.94,1.84,41.23,-14.01,14.03774836
1037,Pooled,3.22,2.3,41.04,-13.71,12.73802955
1038,Pooled,2.61,2.08,42.21,-13.58,16.1755656
1039,Pooled,3.75,1.15,43.12,-14.65,11.48569556
1040,Pooled,3.13,2.63,43.93,-13.99,14.02915514
1041,Pooled,3.09,2.22,41.87,-13.78,13.57273349
1042,1,3.58,2.58,42.86,-14.52,11.97014666
1042,2,3.22,2.24,42.71,-14.14,13.24401668
1042,3,2.74,1.86,42.55,-14.89,15.53153742
1043,1,3.45,2.73,43.91,-14.5,12.74150908
1043,2,2.35,2.51,43.51,-13.57,18.53490956
1043,3,3.43,2.2,42.38,-14.26,12.3609195
1044,1,2.94,0.7,42.16,-14.46,14.36194529
1044,2,3.07,0.72,42.31,-14.69,13.80206642
1044,3,2.75,0.46,41.48,-14.45,15.08421002
1045,Pooled,2.94,2.05,42.69,-13.95,14.49819051
1046,Pooled,3.99,0.47,44.53,-14.32,11.14746198
1047,Pooled,2.75,1.3,42.59,-14.19,15.47756577
1048,1,2.75,1.92,41.83,-13.32,15.20165175
1048,2,3.47,3.41,42.49,-13.53,12.24257912
1048,3,3.08,3.51,41.37,-13.75,13.43973543
1049,Pooled,2.91,1.42,40.47,-14.36,13.92925359
1050,1,3.39,0.46,42.26,-14.42,12.48043631
1050,2,3.57,1.75,40.8,-14.65,11.41896989
1050,3,1.99,-0.49,41.25,-14.11,20.7220607
1051,Pooled,2.87,-0.53,41.27,-14.16,14.39593591
1052,Pooled,3.52,0.58,43.39,-14.44,12.31531147
1053,Pooled,2.93,1.78,42.48,-14.57,14.4861359
1054,Pooled,3.15,2.86,41.86,-13.16,13.27280349
1055,1,1.07,1.23,40.77,-13.4,38.14362558
1055,2,1.5,2.28,41.38,-13.22,27.66532726
1055,3,2.18,0.86,41.1,-14.06,18.81306936
1056,1,3.66,1.99,40.36,-14.9,11.03163727
1057,Pooled,2.58,2.29,41.85,-13.58,16.21425329
1058,Pooled,2.77,1.01,38.51,-13.83,13.91127368
1059,Pooled,3.37,3.67,42.34,-13.66,12.56344018
1060,1,3.24,2.18,44.07,-14.65,13.58531307
1060,2,3.39,3.94,45.07,-14.69,13.29777868
1060,3,2.85,2.44,44.7,-14.61,15.67434224
1061,1,2.53,2.79,42.13,-13.21,16.67421455
1061,2,2.06,0.5,40.35,-13.16,19.56268855
1061,3,2.47,2.24,42.22,-12.98,17.08318192
1062,Pooled,3,2.01,42.71,-14.18,14.21984646
1062.2,Pooled,2.8,2.03,42.76,-14.43,15.25547697
1063,Pooled,3.16,1.65,42.3,-14.06,13.39641595
1064,Pooled,3.06,3.7,41.1,-14.16,13.42802233
1065,Pooled,2.7,1.73,41.89,-14.1,15.50197422
1066,Pooled,3.4,2.75,41.88,-14.15,12.3161169
1067,1,3.53,2.96,42.25,-14.4,11.96171219
1067,2,3.52,2.14,44.59,-13.31,12.64990823
1067,3,3.41,1.09,44.03,-14.24,12.89754108
1068,1,2.38,0.14,42.96,-13.79,18.04691178
1068,2,2.58,0.8,41.89,-13.83,16.2629326
1068,3,2.41,-0.14,42.77,-13.6,17.76008623
1069,Pooled,3.47,2.11,41.9,-14.27,12.06207327
1070,1,2.02,3.03,42.64,-13.72,21.11576562
1070,2,1.48,0.95,41.63,-13.71,28.18420087
