"Plot","Repeat","A_maxCO2","CO2"
2234,2,35.07681718,1193.041
2203,2,28.71695476,1204.368
2186,1,36.26082334,1192.084
1260,2,37.40915618,1187.468
2203,1,38.09313335,1188.869
1163,3,19.55409309,1217.127
1260,3,35.9571944,1191.597
2186,3,38.85301078,1186.83
1260,1,42.01033371,1181.956
2129,1,38.89236144,1187.674
2203,3,43.93092544,1180.676
2234,1,42.39980384,1181.765
2113,2,28.96538615,1202.951
2297,1,42.8031258,1182.219954
2297,3,44.73898061,1175.801
2297,2,26.95922578,1205.791
2186,2,32.69450796,1195.438
1048,2,36.69670626,1192.195
1048,3,30.03225025,1202.697
2122,2,9.272611278,1234.817
2062,3,32.77606233,1198.172
1086,2,34.68357721,1192.827
2161,3,27.75724529,1203.508
2016,3,26.40013002,1206.946
1202,3,11.28322836,1231.312
2161,2,44.32475221,1178.48
2062,2,39.03620312,1188.206
2016,2,38.15487212,1188.328
2161,1,45.38861413,1176.429
2162,2,37.77092168,1189.188
1048,1,26.92357708,1207.583
2016,1,30.15763744,1201.413
2062,1,42.52011045,1182.595
2162,3,24.89215999,1209.384
1086,3,44.20590466,1178.795
1202,1,32.50412382,1194.831
1086,1,40.07145812,1183.598955
2162,1,16.67044114,1221.116
2122,1,13.21510337,1227.518
1244,2,32.45503843,1196.754
2123,2,21.76593081,1215.458
2195,3,31.97236649,1198.474
2243,3,18.57960229,1218.593
1037,1,28.73246572,1204.246
1037,2,29.08107648,1202.442
1070,1,26.06311333,1206.005
1244,1,27.46364165,1205.19
2171,2,23.91246725,1212.124
2243,2,10.6781132,1232.295
1036,2,49.03286855,1171.248
1070,3,46.65814939,1173.196
2195,2,37.78066271,1187.391
2123,1,15.00836287,1224.966
1012,3,23.2116529,1211.704
1070,2,20.81605976,1214.438
2171,1,28.34592936,1204.879
2171,3,44.1429846,1179.629
2243,1,15.7159692,1223.169
1012,1,50.30515124,1168.176
2195,1,37.25492038,1189.476
1244,3,28.94246113,1202.278
1036,3,24.59432204,1209.197
1037,3,32.19969466,1196.518
2263,2,34.05823888,1196.285
2303,3,37.89666123,1188.86
1240,3,27.50875805,1204.493
1185,2,24.39786013,1210.316
1001,3,32.77778395,1196.986
1240,2,39.9375212,1186.446
1113,2,27.21938608,1206.69
1231,3,33.01559136,1195.067
1231,2,25.8481841,1208.286
2262,2,37.58499835,1188.858
1185,3,25.39787849,1209.453
1001,1,34.29279239,1194.362
1113,3,32.99019337,1197.864
1039,1,32.01822145,1198.777
1039,2,24.90529663,1209.048
2262,1,24.50765559,1211.299
1001,2,41.91515204,1183.948
1240,1,35.96317413,1193.32
1185,1,20.48918638,1217.35
2303,1,45.61394203,1177.265
1231,1,35.49489975,1193.393
1113,1,30.51013303,1201.57
1031,2,35.36874642,1193.276
1031,1,26.6510024,1207.466
2303,2,42.05466823,1182.537
1039,3,23.1982204,1211.497975
1010,1,31.9774479,1198.849
2107,3,33.62301759,1196.299
1010,2,26.43567663,1208.367
1010,3,27.62628703,1206.165
2227,1,38.96082424,1188.051
2227,3,41.27873293,1184.267
2059,3,23.93288223,1210.701
1082,2,19.00727021,1219.244
2313,3,38.2745471,1188.194
2107,1,43.29301841,1178.931
2289,1,30.33510598,1199.834
2059,1,23.00514627,1210.973
1082,3,26.26693942,1207.7
2313,2,37.90913898,1189.492
2313,1,43.89154497,1181.128
1082,1,25.29398526,1209.902
2107,2,41.37076224,1182.292
2289,3,36.61817982,1190.507
2059,2,21.58647478,1212.972
2051,2,21.16868393,1215.402
2051,1,21.71599437,1215.555
1126,1,34.07600594,1195.38
1013,3,26.83238467,1206.389
1165,2,13.63735871,1224.87
1085,2,27.35756535,1205.426
2228,1,29.69706111,1199.653
2228,2,35.65217071,1191.289
1126,2,31.76969605,1200.058
1013,1,37.07340217,1190.919
1085,1,40.55595727,1185.699
1165,1,10.44354692,1230.574
1228,1,41.13861596,1183.888
1126,3,36.1047225,1193.72
1013,2,33.45126875,1196.186
1165,3,8.851899553,1234.709
1085,3,25.96850535,1209.242
2228,3,32.15000818,1196.451
1149,3,30.44049236,1201.486
1149,2,20.75354275,1216.349
1149,1,18.31375352,1220.708
1228,3,33.84606187,1196.271
1228,2,40.58336725,1536.427
1135,1,36.28979862,1191.619
2118,1,30.08443197,1202.433
2244,1,30.16459606,1202.745
2246,1,39.31058248,1187.602
2118,3,29.76554031,1203.185
2198,1,36.1988969,1190.897
1135,2,35.0029323,1192.918
2244,2,23.59396175,1211.898
2174,2,24.51862832,1211.622
1087,3,39.59923101,1185.61
2054,1,12.53502226,1229.796
1087,1,36.24946675,1190.159
1087,2,39.46512635,1183.427
2246,2,31.05900758,1201.614
2174,3,33.52793016,1194.393
2054,2,8.371740479,1236.799
2118,2,24.74684493,1210.34
2244,3,36.71819409,1192.009
2174,1,39.02769929,1185.505
2246,3,24.283251,1212.503
2198,2,26.91598402,1207.039
1135,3,35.76910711,1194.487
2198,3,16.4111078,1223.524
2067,3,34.09809275,1194.683
1056,2,23.86590958,1211.498
1034,1,27.44570984,1206.352
1195,3,38.75216471,1189.194
1172,1,40.65871912,1434.54
2067,1,31.55215631,1199.528
2052,2,37.89302084,1188.371
1172,3,37.06964722,1190.881
2067,2,35.83594483,1191.382
2052,1,30.35984959,1201.247
1195,2,10.30862648,1233.062
2052,3,24.11423657,1212.425
1050,3,20.94345437,1217.081
1195,1,21.8966499,1213.843
1034,2,33.2930371,1195.652
1133,3,34.7391017,1195.243
2007,2,20.9751632,1215.906
2015,1,23.94385055,1212.162
2124,3,32.43539839,1198.16
1237,1,28.11338987,1204.12
1133,2,36.20672231,1191.626
1105,3,31.33702104,1199.735
2124,1,28.88789633,1204.452
1237,3,34.68318825,1194.425
2108,2,36.13464385,1192.262
2007,1,25.97127749,1207.748
1133,1,43.85851479,1179.814
1061,1,44.0726334,1177.763
1105,2,39.06043828,1187.62
2108,3,36.71984845,1190.205
1237,2,38.11260695,1188.161
2015,3,12.86546392,1229.318
1061,2,37.53219405,1189.566
1061,3,27.50298461,1203.966
2108,1,37.28090835,1190.101
2007,3,38.1511458,1189.213
2015,2,23.16083362,1212.316
1105,1,31.69744666,1198.523
1114,2,22.94835697,1211.5
1114,1,36.94151743,1189.427
1130,2,39.93862918,1184.835
2296,3,35.85780997,1193.011
2098,3,24.13763895,1209.065
1130,1,40.56760822,1183.719
2098,2,40.22710724,1184.876
2226,2,26.74350569,1204.933
2287,1,25.29590815,1209.833
1160,2,41.59229784,1184.535
2287,2,23.97817418,1210.774
1096,1,38.50924765,1186.468
1130,3,31.3342247,1198.731
2172,2,29.53967841,1200.547
2172,1,32.76763307,1195.801
1096,2,33.95138068,1193.757
1114,3,28.12998777,1204.313
1003,1,37.77870736,1189.186
2287,3,14.61974214,1226.748
2172,3,29.16441259,1202.675
1160,3,36.62121194,1191.346
2226,3,25.52034631,1208.364
2226,1,22.82137067,1213.487
2098,1,30.16802086,1200.876
2296,2,36.88390704,1191.69
1160,1,38.59188548,1187.816
2269,1,38.94848111,1187.813
2069,1,33.06386517,1197.471
2254,1,35.61346715,1193.7
2057,1,35.87014771,1193.014
2220,3,32.22494371,1198.182
2069,3,24.28683831,1211.449
1069,3,26.77197905,1207.644
1119,1,27.0885768,1207.085
1151,3,23.62777924,1212.069
2075,1,37.09266853,1190.208
2075,2,33.14954675,1197.036
2269,3,39.10558798,1186.746
1069,2,25.29999483,1210.164
2254,3,26.90427138,1207.593
2057,2,28.27146698,1205.781
2220,2,35.05154163,1243.86
1151,2,21.60295373,1214.557
2269,2,34.9928225,1193.883
1143,3,29.32181925,1203.244
2254,2,37.75863029,1189.567
2075,3,21.89727009,1214.986
1119,3,33.95577945,1197.026
1143,2,29.28472078,1202.381
2069,2,35.73852608,1193.126
1069,1,37.61800427,1189.353
1143,1,28.80996861,1201.929
2057,3,35.80760225,1192.749
1119,2,17.13173448,1221.178
2220,1,31.77095767,1450.171
1007,2,50.31797403,1169.106
1204,1,37.87811169,1188.613
1107,1,27.08495195,1207.489
1204,2,23.43501504,1212.627
2095,1,33.06423109,1196.263
2083,1,27.20755557,1205.713
2128,2,28.10376511,1205.476
2128,1,33.86335266,1196.824
1107,2,36.29437445,1441.053
2083,3,20.0776946,1217.38
2128,3,32.87556243,1197.235
2095,2,33.86943166,1195.132
1175,3,38.31039258,1188.92
