Accession,group1,group2
SSA_151,2246,1001
SSA_045,2121,1002
SSA_369,1003,2267
SSA_253,2216,1004
SSA_313,1005,2050
SSA_134,1006,2236
SSA_004,2063,1007
SSA_307,2284,1008
SSA_293,2141,1009
SSA_008,2227,1010
SSA_154,2221,1011
SSA_263,1012,2107
SSA_240,2067,1013
SSA_017,2192,1014
SSA_111,2303,1015
SSA_162,2131,1016
SSA_258,1017,2086
SSA_098,1018,2120
SSA_302,1019,2264
SSA_120,1020,2202
SSA_093,2022,1021
SSA_199,1022,2130
SSA_201,2197,1023
SSA_044,2155,1024
SSA_243,2034,1025
SSA_214,1026,2175
SSA_299,1027,2320
SSA_236,2248,1028
SSA_064,1029,2215
SSA_264,2233,1030
SSA_078,2051,1031
SSA_338,2286,1032
SSA_048,1033,2305
SSA_041,1034,2148
SSA_122,1035,2179
SSA_016,1036,2048
SSA_001,1037,2161
SSA_278,1038,2004
SSA_301,2015,1039
SSA_130,1040,2078
SSA_287,2252,1041
SSA_186,1042,2077
SSA_076,1043,2151
SSA_025,2310,1044
SSA_341,2163,1045
SSA_018,2016,1046
SSA_155,2036,1047
SSA_114,1048,2041
SSA_081,2219,1049
SSA_308,1050,2186
SSA_194,1051,2142
SSA_277,1052,2089
SSA_297,2276,1053
SSA_279,2289,1054
SSA_314,1055,2068
SSA_043,2302,1056
SSA_037,1057,2217
SSA_265,2071,1058
SSA_055,1059,2090
SSA_219,1060,2139
SSA_173,1061,2108
SSA_183,2188,1062
SSA_216,1063,2300
SSA_002,1064,2226
SSA_011,1065,2316
SSA_195,1066,2285
SSA_262,2169,1067
SSA_182,1068,2209
SSA_315,2269,1069
SSA_246,1070,2243
SSA_353,2055,1071
SSA_080,1072,2234
SSA_275,2115,1073
SSA_023,2232,1074
SSA_099,2082,1075
SSA_215,2261,1076
SSA_062,1077,2206
SSA_035,1078,2023
SSA_213,2135,1079
SSA_210,2194,1080
SSA_255,1081,2265
SSA_285,1082,2123
SSA_015,2160,1083
SSA_082,1084,2019
SSA_139,1085,2057
SSA_091,2113,1086
SSA_097,1087,2083
SSA_066,1088,2258
SSA_242,1089,2106
SSA_129,2231,1090
SSA_311,1091,2140
SSA_083,1092,2203
SSA_039,1093,2132
SSA_054,1094,2114
SSA_121,2259,1095
SSA_238,2198,1096
SSA_019,1097,2170
SSA_290,2043,1098
SSA_249,2213,1099
SSA_141,2317,1100
SSA_116,2312,1101
SSA_366,2255,1102
SSA_051,2166,1103
SSA_085,1104,2040
SSA_178,1105,2296
SSA_344,1106,2278
SSA_208,1107,2220
SSA_168,2298,1108
SSA_172,1109,2185
SSA_013,1110,2065
SSA_090,2096,1111
SSA_143,2097,1112
SSA_187,1113,2297
SSA_126,1114,2228
SSA_174,2144,1115
SSA_300,2191,1116
SSA_305,1117,2136
SSA_166,1118,2111
SSA_227,2069,1119
SSA_272,1120,2205
SSA_288,1121,2304
SSA_200,1122,2105
SSA_161,1123,2260
SSA_191,1124,2200
SSA_244,2225,1125
SSA_119,2129,1126
SSA_147,1127,2143
SSA_386,2208,1128
SSA_150,2309,1129
SSA_235,2174,1130
SSA_207,2149,1131
SSA_282,2167,1132
SSA_138,2254,1133
SSA_170,2038,1134
SSA_135,1135,2313
SSA_103,1136,2047
SSA_241,2035,1137
SSA_102,1138,2253
SSA_250,2045,1139
SSA_112,1140,2152
SSA_056,1141,2164
SSA_228,2308,1142
SSA_007,2172,1143
SSA_317,2013,1144
SSA_233,1145,2085
SSA_144,2058,1146
SSA_060,1147,2126
SSA_252,1148,2268
SSA_033,1149,2118
SSA_218,2154,1150
SSA_113,2287,1151
SSA_226,1152,2024
SSA_284,2005,1153
SSA_100,1154,2184
SSA_046,1155,2280
SSA_110,2292,1156
SSA_049,1157,2104
SSA_077,2010,1158
SSA_034,1159,2026
SSA_286,2075,1160
SSA_010,2052,1161
SSA_088,2281,1162
SSA_038,1163,2059
SSA_380,2247,1164
SSA_006,1165,2122
SSA_196,2272,1166
SSA_127,2084,1167
SSA_359,2159,1168
SSA_271,2156,1169
SSA_068,2235,1170
SSA_149,2060,1171
SSA_171,2244,1172
SSA_145,2049,1173
SSA_259,1174,2271
SSA_204,2128,1175
SSA_108,2283,1176
SSA_239,1177,2275
SSA_101,1178,2290
SSA_310,2008,1179
SSA_003,1180,2095
SSA_075,1181,2177
SSA_403,2223,1182
SSA_283,1183,2025
SSA_131,2103,1184
SSA_367,2007,1185
SSA_014,1186,2180
SSA_274,2165,1187
SSA_105,1188,2044
SSA_294,2009,1189
SSA_030,2146,1190
SSA_289,1191,2079
SSA_223,1192,2029
SSA_188,2017,1193
SSA_095,2116,1194
SSA_197,2262,1195
SSA_193,2204,1196
SSA_084,2061,1197
SSA_059,1198,2158
SSA_212,2088,1199
SSA_032,1200,2196
SSA_159,2093,1201
SSA_009,1202,2066
SSA_137,1203,2273
SSA_343,1204,2098
SSA_071,2001,1205
SSA_291,1206,2218
SSA_063,1207,2032
SSA_316,2293,1208
SSA_050,2224,1209
SSA_181,2250,1210
SSA_229,1211,2187
SSA_303,1212,2070
SSA_040,2028,1213
SSA_089,1214,2277
SSA_225,2091,1215
SSA_053,1216,2101
SSA_254,2033,1217
SSA_295,1218,2291
SSA_376,2053,1219
SSA_057,1220,2240
SSA_152,2315,1221
SSA_022,1222,2176
SSA_061,2307,1223
SSA_202,2210,1224
SSA_203,2241,1225
SSA_087,2251,1226
SSA_273,2037,1227
SSA_156,1228,2171
SSA_221,2239,1229
SSA_012,2214,1230
SSA_179,1231,2054
SSA_177,1232,2318
SSA_354,2193,1233
SSA_245,2021,1234
SSA_304,1235,2263
SSA_185,2081,1236
SSA_209,2124,1237
SSA_106,1238,2157
SSA_052,2117,1239
SSA_096,2062,1240
SSA_148,1241,2245
SSA_164,1242,2237
SSA_072,1243,2056
SSA_067,1244,2282
SSA_128,2125,1245
SSA_267,2266,1246
SSA_296,2211,1247
SSA_146,2314,1248
SSA_070,1249,2238
SSA_024,1250,2319
SSA_234,2249,1251
SSA_281,1252,2162
SSA_123,1253,2212
SSA_073,2039,1254
SSA_189,1255,2173
SSA_176,1256,2306
SSA_125,1257,2229
SSA_142,2133,1258
SSA_058,2190,1259
SSA_312,2195,1260
SSA_220,2201,1261
SSA_157,2138,1262
SSA_298,1263,2299
SSA_175,1264,2109
SSA_117,1265,2064
SSA_153,2288,1266
SSA_190,2242,1267
SSA_224,1268,2153
SSA_104,1269,2018
SSA_261,2127,1270
SSA_167,2270,1271
SSA_031,2087,1272
SSA_092,1273,2183
SSA_248,2147,1274
SSA_269,2074,1275
SSA_232,1276,2100
SSA_115,2027,1277
SSA_027,2046,1278
SSA_217,1279,2002
SSA_065,1280,2014
SSA_256,1281,2145
SSA_086,1282,2012
SSA_021,1283,2073
SSA_163,2295,1284
SSA_180,2006,1285
SSA_047,2031,1286
SSA_257,2102,1287
SSA_237,1288,2181
SSA_020,1289,2150
SSA_140,2178,1290
SSA_124,2076,1291
SSA_036,2011,1292
SSA_306,2311,1293
SSA_079,2042,1294
SSA_247,2256,1295
SSA_339,2168,1296
SSA_222,2030,1297
SSA_318,1298,2279
SSA_211,2294,1299
SSA_160,2094,1300
SSA_107,1301,2003
SSA_346,2099,1302
SSA_132,2182,1303
SSA_292,2080,1304
SSA_109,2301,1305
SSA_026,2274,1306
SSA_005,1307,2222
SSA_184,2072,1308
SSA_230,2092,1309
SSA_309,1310,2110
SSA_042,1311,2189
SSA_133,1312,2137
SSA_266,2230,1313
SSA_094,1314,2199
SSA_280,1315,2119
SSA_169,1316,2020
SSA_029,1317,2112
SSA_205,1318,2134
SSA_136,1319,2257
SSA_118,2207,1320
