PlotID,Accession
1001,B1K-15-06
1002,B1K-06-20
1003,B1K-50-07
1004,B1K-21-11
1005,B1K-34-19
1006,B1K-26-03
1007,B1K-47-04
1008,B1K-05-12
1009,B1K-33-03
1010,B1K-39-02
1011,B1K-22-06
1012,B1K-22-08
1013,B1K-11-09
1014,B1K-30-07
1015,B1K-43-14
1016,B1K-39-07
1017,B1K-42-01
1018,B1K-04-03
1019,B1K-41-08
1020,B1K-20-07
1021,B1K-24-10
1022,B1K-39-12
1023,B1K-25-01
1024,B1K-22-09
1025,B1K-05-08
1026,B1K-03-17
1027,B1K-06-15
1028,B1K-08-09
1029,B1K-31-15
1030,B1K-27-19
1031,B1K-37-02
1032,B1K-24-03
1033,B1K-32-08
1034,B1K-08-15
1035,B1K-44-02
1036,B1K-48-11
1037,B1K-38-14
1038,B1K-28-15
1039,B1K-03-03
1040,B1K-47-20
1041,B1K-32-09
1042,B1K-25-13
1043,B1K-28-13
1044,B1K-03-14
1045,B1K-49-10
1046,B1K-24-16
1047,B1K-10-13
1048,B1K-08-02
1049,B1K-31-05
1050,B1K-04-19
1051,B1K-11-16
1052,B1K-38-12
1053,B1K-09-09
1054,B1K-34-05
1055,B1K-06-06
1056,B1K-32-20
1057,B1K-24-09
1058,B1K-37-20
1059,B1K-51-04
1060,B1K-35-07
1061,B1K-38-08
1062,B1K-35-03
1063,B1K-49-13
1064,B1K-35-13
1065,B1K-45-18
1066,B1K-25-20
1067,B1K-19-20
1068,B1K-02-06
1069,B1K-24-13
1070,B1K-14-17
1071,B1K-31-19
1072,B1K-06-19
1073,B1K-51-13
1074,B1K-49-18
1075,B1K-31-11
1076,B1K-33-12
1077,B1K-08-16
1078,B1K-34-06
1079,B1K-15-17
1080,B1K-22-02
1081,B1K-26-05
1082,B1K-28-01
1083,B1K-37-19
1084,B1K-10-18
1085,B1K-30-11
1086,B1K-27-08
1087,B1K-11-18
1088,B1K-34-02
1089,B1K-19-01
1090,B1K-43-11
1091,B1K-36-19
1092,B1K-18-03
1093,B1K-17-17
1094,B1K-35-04
1095,B1K-12-06
1096,B1K-03-16
1097,B1K-46-15
1098,B1K-19-15
1099,B1K-46-03
1100,B1K-23-02
1101,B1K-13-14
1102,B1K-22-18
1103,B1K-29-02
1104,B1K-27-15
1105,B1K-16-15
1106,B1K-09-16
1107,B1K-05-03
1108,B1K-23-19
1109,B1K-17-01
1110,B1K-02-16
1111,B1K-23-11
1112,B1K-20-20
1113,B1K-21-10
1114,B1K-24-07
1115,B1K-46-20
1116,B1K-08-03
1117,B1K-13-15
1118,B1K-17-03
1119,B1K-09-07
1120,B1K-37-11
1121,B1K-45-05
1122,B1K-04-12
1123,B1K-25-09
1124,B1K-23-07
1125,B1K-33-09
1126,B1K-50-20
1127,B1K-09-10
1128,B1K-06-10
1129,B1K-29-20
1130,B1K-48-06
1131,B1K-43-15
1132,B1K-20-10
1133,B1K-30-13
1134,B1K-49-08
1135,B1K-41-03
1136,B1K-05-16
1137,B1K-05-10
1138,B1K-02-12
1139,B1K-15-07
1140,B1K-28-10
1141,B1K-02-04
1142,B1K-22-12
1143,B1K-35-19
1144,B1K-16-10
1145,B1K-11-04
1146,B1K-11-05
1147,B1K-14-04
1148,B1K-41-13
1149,B1K-36-11
1150,B1K-10-01
1151,B1K-08-06
1152,B1K-34-10
1153,B1K-24-02
1154,B1K-08-08
1155,B1K-44-09
1156,B1K-32-13
1157,B1K-25-15
1158,B1K-31-01
1159,B1K-51-10
1160,B1K-51-19
1161,B1K-09-04
1162,B1K-30-20
1163,B1K-17-18
1164,B1K-02-14
1165,B1K-15-04
1166,B1K-25-08
1167,B1K-27-11
1168,B1K-15-05
1169,B1K-42-07
1170,B1K-26-16
1171,B1K-29-13
1172,B1K-30-03
1173,B1K-26-08
1174,B1K-41-11
1175,B1K-08-10
1176,B1K-09-01
1177,B1K-09-11
1178,B1K-01-20
1179,B1K-36-06
1180,B1K-49-11
1181,B1K-36-04
1182,B1K-08-18
1183,B1K-09-18
1184,B1K-08-05
1185,B1K-35-08
1186,B1K-50-04
1187,B1K-11-15
1188,B1K-04-08
1189,B1K-22-16
1190,B1K-19-12
1191,B1K-16-06
1192,B1K-03-10
1193,B1K-40-11
1194,B1K-10-12
1195,B1K-03-09
