Accession,group1_21,group2_21,group1_22,group2_22
SSA_200,2105,1122,2259,1020
SSA_161,1123,2260,1002,2015
SSA_191,1124,2200,2075,1232
SSA_244,2225,1125,1269,2039
SSA_119,2129,1126,2023,1140
SSA_147,2143,1127,1278,2168
SSA_386,1128,2208,2122,1198
SSA_150,2309,1129,2267,1160
SSA_235,2174,1130,1138,2150
SSA_207,2149,1131,1242,2132
SSA_282,1132,2167,2121,1261
SSA_138,1133,2254,2221,1273
SSA_170,1134,2038,2285,1153
SSA_135,2313,1135,2204,1110
SSA_103,2047,1136,2262,1251
SSA_241,2035,1137,1301,2100
SSA_102,1138,2253,1152,2311
SSA_250,1139,2045,1131,2109
SSA_112,1140,2152,2092,1220
SSA_56,2164,1141,2068,1145
SSA_228,1142,2308,1083,2062
SSA_7,1143,2172,1111,2253
SSA_317,1144,2013,2162,1246
SSA_233,1145,2085,2029,1272
SSA_144,2058,1146,2248,1143
SSA_60,1147,2126,1306,2056
SSA_252,1148,2268,1245,2236
SSA_33,2118,1149,2298,1137
SSA_218,1150,2154,2205,1262
SSA_113,2287,1151,1159,2254
SSA_226,1152,2024,1286,2191
SSA_284,2005,1153,2241,1029
SSA_100,1154,2184,1217,2136
SSA_46,2280,1155,1311,2022
SSA_110,1156,2292,2082,1300
SSA_49,1157,2104,1091,2301
SSA_77,1158,2010,2167,1161
SSA_34,2026,1159,1019,2038
SSA_286,2075,1160,2264,1044
SSA_10,2052,1161,1032,2180
SSA_88,1162,2281,2252,1192
SSA_380,2247,1164,2188,1116
SSA_6,2122,1165,1027,2304
SSA_196,1166,2272,1124,2294
SSA_127,1167,2084,1132,2238
SSA_359,2159,1168,1209,2297
SSA_271,2156,1169,1158,2230
SSA_68,1170,2235,2179,1309
SSA_149,1171,2060,2091,1243
SSA_171,1172,2244,2313,1069
SSA_145,2049,1173,1123,2156
SSA_259,2271,1174,1048,2045
SSA_204,2128,1175,2183,1223
SSA_108,1176,2283,1025,2146
SSA_239,2275,1177,2217,1157
SSA_101,1178,2290,2151,1181
SSA_310,1179,2008,1118,2010
SSA_3,1180,2095,2042,1017
SSA_75,1181,2177,1010,2284
SSA_403,1182,2223,1316,2319
SSA_283,1183,2025,2037,1257
SSA_131,2103,1184,1114,2110
SSA_367,2007,1185,2209,1073
SSA_14,2180,1186,1142,2181
SSA_274,2165,1187,2261,1171
SSA_105,2044,1188,2195,1043
SSA_294,2009,1189,2307,1203
SSA_30,1190,2146,2067,1090
SSA_289,2079,1191,1259,2176
SSA_223,2029,1192,2098,1291
SSA_188,1193,2017,1058,2012
SSA_95,2116,1194,2025,1195
SSA_197,2262,1195,1093,2154
SSA_193,1196,2204,1231,2044
SSA_84,2061,1197,1213,2182
SSA_59,1198,2158,2014,1247
SSA_212,2088,1199,2135,1026
SSA_159,1201,2093,1238,2276
SSA_9,1202,2066,2011,1049
SSA_137,2273,1203,1211,2147
SSA_343,2098,1204,2049,1201
SSA_71,1205,2001,1307,2305
SSA_291,2218,1206,2186,1059
SSA_63,2032,1207,1285,2144
SSA_316,2293,1208,2096,1280
SSA_50,1209,2224,2013,1287
SSA_181,1210,2250,1216,2018
SSA_229,2187,1211,1244,2190
SSA_303,1212,2070,2004,1068
SSA_40,2028,1213,2153,1141
SSA_89,1214,2277,1127,2019
SSA_53,1216,2101,1008,2232
SSA_254,2033,1217,2175,1108
SSA_295,1218,2291,2001,1104
SSA_376,2053,1219,1310,2158
SSA_57,1220,2240,1207,2291
SSA_152,2315,1221,2240,1115
SSA_22,1222,2176,2246,1063
SSA_61,1223,2307,2273,1176
SSA_202,1224,2210,2026,1237
SSA_203,1225,2241,2308,1125
SSA_87,1226,2251,1003,2222
SSA_273,1227,2037,2286,1193
SSA_156,2171,1228,1202,2159
SSA_221,1229,2239,1290,2257
SSA_12,2214,1230,2131,1177
SSA_179,2054,1231,2211,1024
SSA_177,1232,2318,2050,1094
SSA_354,1233,2193,1303,2046
SSA_245,2021,1234,2173,1233
SSA_304,1235,2263,1033,2271
SSA_185,1236,2081,1121,2069
SSA_209,1237,2124,1004,2108
SSA_106,2157,1238,2078,1076
SSA_52,1239,2117,1235,2260
SSA_96,2062,1240,1215,2139
SSA_148,2245,1241,2187,1224
SSA_164,1242,2237,1036,2227
