"meas","pred"
194.8900027,222.519902118071
244.7846592,238.998997331359
205.9607242,250.688959860276
301.635262,246.285586498191
228.6938029,253.697098980763
264.2385043,195.886441952531
241.5147662,219.621666502688
230.1159876,216.984453141458
223.302457,205.253169340355
208.1003964,196.355872915938
235.7501108,200.184859744898
235.4832176,214.493051031
256.7638534,205.296833238807
167.5169438,216.201463653457
246.666018,201.119285585415
235.875033,206.281376818054
136.1261663,207.61763743334
240.1778964,246.844277525009
302.6220745,252.23305026117
257.6218758,232.282141218951
210.8999088,217.529082321026
226.5826482,247.079404958778
72.10581445,195.50772530374
189.2320887,201.550797260971
277.8669234,209.97847155067
262.6893085,230.371224995248
253.9600917,238.402444638366
127.8260532,217.985255525561
232.8912223,224.91182172001
324.7838849,241.16664551054
267.4243174,241.121700096448
226.7429113,249.106769236482
238.0897724,206.797870039709
234.3613006,215.03983450653
248.2695949,220.041943490793
206.7245577,214.646497129217
249.9006114,215.307701263854
247.172025,214.708918586003
273.933027,205.577545367414
255.7945935,197.823140866597
183.7579711,211.610145740801
221.0955444,206.443171145666
212.4925771,216.066189586542
243.4601628,222.857484607213
175.0073274,220.935266117974
276.0110855,215.314044466674
205.4250429,204.886820772988
230.1455314,201.775710538706
205.8807654,218.765173660863
246.9777512,204.244306727386
82.1332712,199.0822074095
190.1167688,201.797891125191
203.5492886,213.395551852684
183.0809815,204.081669666955
207.746314,233.730887831449
245.2528065,235.862677658933
290.9664932,227.522854695697
206.9783946,248.079963571126
255.3946291,243.659935684532
255.8232453,208.537167070223
240.6284173,213.646198040457
238.7543378,207.030437689472
221.7683183,249.644299689948
325.6062104,248.754315013818
270.0535673,246.710653726143
111.923456,231.915914093108
371.5417237,218.477543125232
230.9456187,225.885444245879
172.1245386,212.059100448009
217.1948535,208.581801127195
245.3402218,216.222303644774
258.8633993,221.061373273552
190.3467037,209.470315359773
201.1800077,240.834151414424
244.9641313,253.820927917093
248.668694,244.910480245228
269.7871151,223.737781722212
261.068524,202.936195110005
195.6165003,194.314974807073
202.4192346,212.186139529662
149.0524213,202.241447520832
211.9647798,201.99552376569
140.8322854,200.723327098312
264.719898,217.007700945413
213.0878678,220.013640319201
210.0282746,195.66114955571
140.9152696,205.73454102723
225.6301698,202.870761654201
208.0945153,218.562258403679
252.1302459,220.08176549909
247.7181919,226.139705432874
277.4567745,224.077032388691
186.2515778,213.473605441784
239.1068942,236.04090985283
241.714869,235.628562973191
328.4379836,224.777466798066
226.7037989,224.214013376748
241.6825937,212.822762109033
197.4521203,214.328367368254
182.7760561,213.406551459449
257.5069797,214.391509124173
162.3252965,226.089549368097
274.2922014,208.253305162735
325.7179965,242.354023328627
200.027327,240.793357046898
212.0121141,236.054569431018
249.207913,231.526283222755
199.8602121,236.510092067696
280.6331183,240.101684806995
261.282758,235.162146572476
249.9153238,236.847259450923
258.4709332,226.638121507295
244.7207385,236.127922181708
265.279475,246.35228656137
238.3292332,199.403002729633
176.1427677,201.752236744583
213.5167651,198.146127442659
197.6625655,207.846600363699
203.0924636,201.395370138327
236.8844365,227.006860740408
295.9902966,247.248623102499
245.1844112,236.990537964889
202.0795699,208.282479378756
212.294045,207.537030619387
206.3828922,206.682185637088
245.9255779,214.819683336382
298.9107295,203.614598079666
212.8744801,198.871680770435
246.6152632,195.367519342799
231.7845799,205.612078974653
224.5613043,217.297011574557
72.89648494,215.018777849918
202.8392001,220.29149496586
213.3211285,204.440196973873
238.1324571,199.421319378672
156.3826072,198.18524759397
198.0600876,210.114705815985
227.1118043,226.223115203112
261.1897399,215.440357088275
242.0579616,226.65689110135
251.5296888,224.84079059938
216.8904772,200.77307962072
156.4899467,201.448836937324
250.0787843,209.606091680619
219.0778133,237.909080203983
208.2727085,233.176152210207
243.0224456,242.246907422377
106.224446,193.944987655154
200.9027487,200.738130034976
264.9864468,209.080198831615
248.0600794,207.80818453255
266.5755525,206.291194165644
10.01864963,200.271452436851
170.675051,212.572515058912
263.3029629,221.380844911288
215.4821429,189.621969836347
245.4079416,225.517191497208
230.4686402,237.784720065236
243.3271147,234.406511838028
237.184275,234.307519515365
264.1462863,215.347383743675
152.8889769,205.894954029301
264.4995185,207.868038080481
238.0034806,208.251270889015
195.6753225,211.559039806846
228.9137324,206.248501126909
78.62866396,206.603658810624
206.4262442,221.063393344719
234.7224014,209.337561059017
244.0894982,231.18640432912
242.0579494,248.689734761239
272.1421875,260.549807057264
225.5708734,243.04390216446
226.0967197,223.611502348625
214.4571184,230.19152975385
266.7740867,231.4179234337
132.8861923,223.660080233083
198.4827719,213.594703304764
158.6267306,216.934029074816
203.6788685,223.24113163554
359.5786474,226.849523686733
222.5936253,206.372368072101
237.2582663,207.907458890208
219.0463089,213.53860192639
192.5125355,237.4361957768
227.1641601,231.490848984642
265.8727706,236.684849027715
189.6145649,218.476184184895
192.9350973,219.053997472205
106.4928002,207.45546421037
233.3689352,201.03484995289
186.0030895,217.39515352091
228.986491,192.888678878015
198.6172011,207.975776149564
169.0896619,208.425196675747
190.8769785,211.591695597834
190.7639154,232.931543032017
243.2989134,244.478239575833
244.6548038,235.750320872936
184.1711046,213.457689799867
219.7576617,212.273612235037
246.3331263,210.011391995321
231.2586024,212.422479054097
255.1118595,206.673831418402
261.6104481,200.337059377932
128.7376437,205.620078778959
215.9518387,212.477679361416
165.6580488,214.756247783601
164.0437874,214.149054056684
174.3640169,208.957022715158
174.8408668,196.570198851512
149.0697017,213.036897927904
198.3022148,200.780945181936
186.9859091,232.570455699647
221.1637274,227.05729262076
212.2356098,235.030848085141
